num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 0 - 6d06be3a329eb804. Mean loss in evaluation epoch: 0.32334470748901367, epochs needed: 20
evaluating individudal 32 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.31745803356170654, epochs needed: 20
evaluating individudal 33 - 3946ae684b3aa530. Mean loss in evaluation epoch: 0.32032591104507446, epochs needed: 20
evaluating individudal 34 - ec824723969cea17. Mean loss in evaluation epoch: 0.3205912709236145, epochs needed: 20
evaluating individudal 35 - a01822a4a64492b3. Mean loss in evaluation epoch: 0.32043808698654175, epochs needed: 20
evaluating individudal 36 - edc253205b0fe23f. Mean loss in evaluation epoch: 0.31865352392196655, epochs needed: 20
evaluating individudal 37 - 85707f1755a7fb6b. Mean loss in evaluation epoch: 0.32125598192214966, epochs needed: 20
evaluating individudal 38 - 734b5a20209df9e5. Mean loss in evaluation epoch: 0.31951943039894104, epochs needed: 20
evaluating individudal 39 - 66a99f512607fc6c. Mean loss in evaluation epoch: 0.32009994983673096, epochs needed: 20
evaluating individudal 0 - 6d06be3a329eb804. Mean loss in evaluation epoch: 0.32322952151298523, epochs needed: 20
evaluating individudal 1 - 19169758584bec0b. Mean loss in evaluation epoch: 0.32187336683273315, epochs needed: 20
evaluating individudal 2 - d8dfa66b169309ed. Mean loss in evaluation epoch: 0.323629766702652, epochs needed: 20
evaluating individudal 3 - 2a5129b02e7ffe6e. Mean loss in evaluation epoch: 0.3216049373149872, epochs needed: 20
evaluating individudal 4 - 5ce2862e1b98626b. Mean loss in evaluation epoch: 0.3238030970096588, epochs needed: 20
evaluating individudal 5 - 40ec8332826ce28a. Mean loss in evaluation epoch: 0.3232024312019348, epochs needed: 20
evaluating individudal 6 - 153a119f46c2a21f. Mean loss in evaluation epoch: 0.32267895340919495, epochs needed: 20
evaluating individudal 7 - caa43bbc1113f263. Mean loss in evaluation epoch: 0.3240301311016083, epochs needed: 20
evaluating individudal 8 - 0d24aabe65d748a5. Mean loss in evaluation epoch: 0.3221814036369324, epochs needed: 20
evaluating individudal 9 - cab4f031877ea6ee. Mean loss in evaluation epoch: 0.3227856755256653, epochs needed: 20
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: d3fc8968eb4022d2, num_times_seen_before: 0
ACC: 0.3894736842105263
TPR/FPR: 0.4722222222222222, 0.6298701298701299
Loss: 0.31704801321029663
Timestamp: 571.9207555620014
---------------------------------------------------------------
evaluating individudal 0 - 657c6e0e1b35e68f. Mean loss in evaluation epoch: 0.31736883521080017, epochs needed: 20
evaluating individudal 1 - 86c81aaa22743c1e. Mean loss in evaluation epoch: 0.3182353973388672, epochs needed: 20
evaluating individudal 2 - d373c51b34204590. Mean loss in evaluation epoch: 0.3194562494754791, epochs needed: 20
evaluating individudal 3 - d7170c4575f0ba06. Mean loss in evaluation epoch: 0.3195979595184326, epochs needed: 20
evaluating individudal 4 - c4b3e3f3f5f4c887. Mean loss in evaluation epoch: 0.318464457988739, epochs needed: 20
evaluating individudal 5 - d808ca4c78e06160. Mean loss in evaluation epoch: 0.3192625343799591, epochs needed: 20
evaluating individudal 6 - 7334a902e7d4a3c2. Mean loss in evaluation epoch: 0.31862661242485046, epochs needed: 20
evaluating individudal 7 - 649996f6e3b44aad. Mean loss in evaluation epoch: 0.3169862926006317, epochs needed: 20
evaluating individudal 8 - 9b7a3731855e0882. Mean loss in evaluation epoch: 0.31938958168029785, epochs needed: 20
evaluating individudal 9 - d56bb128537f103c. Mean loss in evaluation epoch: 0.3188471794128418, epochs needed: 20
evaluating individudal 10 - 5a44fa0b3f2071a9. Mean loss in evaluation epoch: 0.31857526302337646, epochs needed: 20
evaluating individudal 11 - a543007b7ed80340. Mean loss in evaluation epoch: 0.3183116912841797, epochs needed: 20
evaluating individudal 12 - c4a35052f1307d46. Mean loss in evaluation epoch: 0.3172689378261566, epochs needed: 20
evaluating individudal 13 - bf307a135aac197c. Mean loss in evaluation epoch: 0.3191203474998474, epochs needed: 20
evaluating individudal 14 - 7c4f97d937cde0e2. Mean loss in evaluation epoch: 0.31887000799179077, epochs needed: 20
evaluating individudal 15 - f3bf16ff91e4c5d3. Mean loss in evaluation epoch: 0.31781503558158875, epochs needed: 20
evaluating individudal 16 - df5c6e0b4a169f56. Mean loss in evaluation epoch: 0.3177138566970825, epochs needed: 20
evaluating individudal 17 - e9ad6062da9f294d. Mean loss in evaluation epoch: 0.31804075837135315, epochs needed: 20
evaluating individudal 18 - 7398a615b2f15879. Mean loss in evaluation epoch: 0.3189842104911804, epochs needed: 20
evaluating individudal 19 - 1506243fc3ef25d5. Mean loss in evaluation epoch: 0.31932446360588074, epochs needed: 20
evaluating individudal 20 - 96e0e064440c22cf. Mean loss in evaluation epoch: 0.31959518790245056, epochs needed: 20
evaluating individudal 21 - 582750c4bc37f0c9. Mean loss in evaluation epoch: 0.3185608983039856, epochs needed: 20
evaluating individudal 22 - e4187863c1864bf4. Mean loss in evaluation epoch: 0.31992432475090027, epochs needed: 20
evaluating individudal 23 - 664f08ff13051f03. Mean loss in evaluation epoch: 0.31852301955223083, epochs needed: 20
evaluating individudal 24 - a518706f44f7c146. Mean loss in evaluation epoch: 0.31776589155197144, epochs needed: 20
evaluating individudal 25 - 5148ee633def73c8. Mean loss in evaluation epoch: 0.31765982508659363, epochs needed: 20
evaluating individudal 26 - 6a5505590ae0c58a. Mean loss in evaluation epoch: 0.3184695839881897, epochs needed: 20
evaluating individudal 27 - ae7207371f6092d5. Mean loss in evaluation epoch: 0.3171698749065399, epochs needed: 20
evaluating individudal 28 - 50bf59fd9658af53. Mean loss in evaluation epoch: 0.32012656331062317, epochs needed: 20
evaluating individudal 29 - 1e4c89cd17a8cdb7. Mean loss in evaluation epoch: 0.31942489743232727, epochs needed: 20
evaluating individudal 30 - 3c7cc56c6449a081. Mean loss in evaluation epoch: 0.31889814138412476, epochs needed: 20
evaluating individudal 31 - 43e22fe8d074e783. Mean loss in evaluation epoch: 0.31976038217544556, epochs needed: 20
evaluating individudal 32 - 3cf9b0f9ac7f1848. Mean loss in evaluation epoch: 0.31672927737236023, epochs needed: 20
evaluating individudal 33 - 46b3ef308a2fe5cc. Mean loss in evaluation epoch: 0.31815558671951294, epochs needed: 20
evaluating individudal 34 - dd0bfc0ba8feaadc. Mean loss in evaluation epoch: 0.3176741600036621, epochs needed: 20
evaluating individudal 35 - d212176dc0d773e9. Mean loss in evaluation epoch: 0.31945982575416565, epochs needed: 20
evaluating individudal 36 - e3727ee664fde204. Mean loss in evaluation epoch: 0.3186511993408203, epochs needed: 20
evaluating individudal 37 - 322791d8afdf0c45. Mean loss in evaluation epoch: 0.3191055655479431, epochs needed: 20
evaluating individudal 38 - 37a9d82328db61fb. Mean loss in evaluation epoch: 0.31811028718948364, epochs needed: 20
evaluating individudal 39 - 7d347a5035b2401a. Mean loss in evaluation epoch: 0.3196808695793152, epochs needed: 20
evaluating individudal 0 - d3fc8968eb4022d2. Mean loss in evaluation epoch: 0.3187897503376007, epochs needed: 20
evaluating individudal 1 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.31696033477783203, epochs needed: 20
evaluating individudal 2 - 657e4dd0478e0e22. Mean loss in evaluation epoch: 0.31776803731918335, epochs needed: 20
evaluating individudal 3 - 0bd35afbe6807648. Mean loss in evaluation epoch: 0.31787925958633423, epochs needed: 20
evaluating individudal 4 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.3171209394931793, epochs needed: 20
evaluating individudal 5 - d88b3bbf78665fca. Mean loss in evaluation epoch: 0.3181988596916199, epochs needed: 20
evaluating individudal 6 - 8ac95a5af09a4f4c. Mean loss in evaluation epoch: 0.3180620074272156, epochs needed: 20
evaluating individudal 7 - 4d4370d9ddc6a2b2. Mean loss in evaluation epoch: 0.31777945160865784, epochs needed: 20
evaluating individudal 8 - 4af70a121157df18. Mean loss in evaluation epoch: 0.31811556220054626, epochs needed: 20
evaluating individudal 9 - bfb3c57292378be8. Mean loss in evaluation epoch: 0.3189280331134796, epochs needed: 20
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3cf9b0f9ac7f1848, num_times_seen_before: 0
ACC: 0.38421052631578945
TPR/FPR: 0.4166666666666667, 0.6233766233766234
Loss: 0.31672927737236023
Timestamp: 1150.9917267050005
---------------------------------------------------------------
evaluating individudal 0 - 9420b66ea9d59258. Mean loss in evaluation epoch: 0.31910017132759094, epochs needed: 20
evaluating individudal 1 - 769ae76a97d5f2d8. Mean loss in evaluation epoch: 0.318674772977829, epochs needed: 20
evaluating individudal 2 - 8c086702b423e2a1. Mean loss in evaluation epoch: 0.31793078780174255, epochs needed: 20
evaluating individudal 3 - 5882d3b4c44f9da2. Mean loss in evaluation epoch: 0.31815406680107117, epochs needed: 20
evaluating individudal 4 - e6fce1ff8052ba25. Mean loss in evaluation epoch: 0.31908175349235535, epochs needed: 20
evaluating individudal 5 - c2e99c665bd9ca11. Mean loss in evaluation epoch: 0.31960955262184143, epochs needed: 20
evaluating individudal 6 - 7deddb8877030e3b. Mean loss in evaluation epoch: 0.31838199496269226, epochs needed: 20
evaluating individudal 7 - 731e9844a57d4542. Mean loss in evaluation epoch: 0.3178550899028778, epochs needed: 20
evaluating individudal 8 - 8d37238bd0fdf8ef. Mean loss in evaluation epoch: 0.3182466924190521, epochs needed: 20
evaluating individudal 9 - 3e0c1484af48d392. Mean loss in evaluation epoch: 0.31951647996902466, epochs needed: 20
evaluating individudal 10 - ae36ab1cfe047f29. Mean loss in evaluation epoch: 0.31816405057907104, epochs needed: 20
evaluating individudal 11 - 8f956f6869004c3f. Mean loss in evaluation epoch: 0.31903931498527527, epochs needed: 20
evaluating individudal 12 - ff4ec9aa126f89d4. Mean loss in evaluation epoch: 0.3183468282222748, epochs needed: 20
evaluating individudal 13 - 99538bda33ac55c9. Mean loss in evaluation epoch: 0.3178887367248535, epochs needed: 20
evaluating individudal 14 - 69f7cdfcea419bb5. Mean loss in evaluation epoch: 0.3188692033290863, epochs needed: 20
evaluating individudal 15 - 9171a29509d4191e. Mean loss in evaluation epoch: 0.3179817199707031, epochs needed: 20
evaluating individudal 16 - ac254b2b706a6ee9. Mean loss in evaluation epoch: 0.319650799036026, epochs needed: 20
evaluating individudal 17 - 880b23fbc7eca073. Mean loss in evaluation epoch: 0.3175109028816223, epochs needed: 20
evaluating individudal 18 - 6d082e36cacaaa1a. Mean loss in evaluation epoch: 0.318969190120697, epochs needed: 20
evaluating individudal 19 - 31f150ddc88dbaaf. Mean loss in evaluation epoch: 0.3186265230178833, epochs needed: 20
evaluating individudal 20 - 5db655134369068c. Mean loss in evaluation epoch: 0.31841495633125305, epochs needed: 20
evaluating individudal 21 - 6a13ae98ceea3cc2. Mean loss in evaluation epoch: 0.3203289210796356, epochs needed: 20
evaluating individudal 22 - aad19a0fd2156825. Mean loss in evaluation epoch: 0.3179723620414734, epochs needed: 20
evaluating individudal 23 - d4d32e2474a02171. Mean loss in evaluation epoch: 0.31929251551628113, epochs needed: 20
evaluating individudal 24 - a2f65a7e9ff84947. Mean loss in evaluation epoch: 0.3194900453090668, epochs needed: 20
evaluating individudal 25 - 93b1c20a19111af4. Mean loss in evaluation epoch: 0.3194313645362854, epochs needed: 20
evaluating individudal 26 - 63474a633fee03a6. Mean loss in evaluation epoch: 0.317880243062973, epochs needed: 20
evaluating individudal 27 - 2dcbbf3a66fb4c6e. Mean loss in evaluation epoch: 0.3186476230621338, epochs needed: 20
evaluating individudal 28 - 1d2b71292bab61b9. Mean loss in evaluation epoch: 0.3170129656791687, epochs needed: 20
evaluating individudal 29 - eb92a27062906f00. Mean loss in evaluation epoch: 0.31962406635284424, epochs needed: 20
evaluating individudal 30 - 84aa0f025b1a4dc5. Mean loss in evaluation epoch: 0.3181980550289154, epochs needed: 20
evaluating individudal 31 - 990f593e5331ee94. Mean loss in evaluation epoch: 0.3200939893722534, epochs needed: 20
evaluating individudal 32 - 202dd094656d70e6. Mean loss in evaluation epoch: 0.31804922223091125, epochs needed: 20
evaluating individudal 33 - 76bbdd09c952968b. Mean loss in evaluation epoch: 0.3177605867385864, epochs needed: 20
evaluating individudal 34 - 9114f9ec183523d2. Mean loss in evaluation epoch: 0.31872448325157166, epochs needed: 20
evaluating individudal 35 - 4e7fcdfac1a1c476. Mean loss in evaluation epoch: 0.3178509473800659, epochs needed: 20
evaluating individudal 36 - 2cad374d3f270162. Mean loss in evaluation epoch: 0.31697824597358704, epochs needed: 20
evaluating individudal 37 - 97e97199ca549ef2. Mean loss in evaluation epoch: 0.317279577255249, epochs needed: 20
evaluating individudal 38 - e4e8af94464c043b. Mean loss in evaluation epoch: 0.31841006875038147, epochs needed: 20
evaluating individudal 39 - c4c6461cd3b19f79. Mean loss in evaluation epoch: 0.31925660371780396, epochs needed: 20
evaluating individudal 0 - 3cf9b0f9ac7f1848. Mean loss in evaluation epoch: 0.31670498847961426, epochs needed: 20
evaluating individudal 1 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.31696540117263794, epochs needed: 20
evaluating individudal 2 - 649996f6e3b44aad. Mean loss in evaluation epoch: 0.3176049292087555, epochs needed: 20
evaluating individudal 3 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.3186188042163849, epochs needed: 20
evaluating individudal 4 - ae7207371f6092d5. Mean loss in evaluation epoch: 0.3169212341308594, epochs needed: 20
evaluating individudal 5 - c4a35052f1307d46. Mean loss in evaluation epoch: 0.3175719678401947, epochs needed: 20
evaluating individudal 6 - 657c6e0e1b35e68f. Mean loss in evaluation epoch: 0.31722041964530945, epochs needed: 20
evaluating individudal 7 - 5148ee633def73c8. Mean loss in evaluation epoch: 0.3176535665988922, epochs needed: 20
evaluating individudal 8 - dd0bfc0ba8feaadc. Mean loss in evaluation epoch: 0.31748390197753906, epochs needed: 20
evaluating individudal 9 - df5c6e0b4a169f56. Mean loss in evaluation epoch: 0.31758078932762146, epochs needed: 20
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3cf9b0f9ac7f1848, num_times_seen_before: 1
ACC: 0.38421052631578945
TPR/FPR: 0.4166666666666667, 0.6233766233766234
Loss: 0.31670498847961426
Timestamp: 1743.9045329250002
---------------------------------------------------------------
evaluating individudal 0 - 6068c7c687505806. Mean loss in evaluation epoch: 0.31914186477661133, epochs needed: 20
evaluating individudal 1 - ab790bf6bc2ef33b. Mean loss in evaluation epoch: 0.32041212916374207, epochs needed: 20
evaluating individudal 2 - a792bc17e7d4acc1. Mean loss in evaluation epoch: 0.31809261441230774, epochs needed: 20
evaluating individudal 3 - 73acba97a4299d29. Mean loss in evaluation epoch: 0.3181447386741638, epochs needed: 20
evaluating individudal 4 - e5dd25eb9d975116. Mean loss in evaluation epoch: 0.3171531856060028, epochs needed: 20
evaluating individudal 5 - 35b6d4c2a5f7abe3. Mean loss in evaluation epoch: 0.3180951476097107, epochs needed: 20
evaluating individudal 6 - d18a581d351d4a76. Mean loss in evaluation epoch: 0.31872788071632385, epochs needed: 20
evaluating individudal 7 - 7fa9e9b13dc97797. Mean loss in evaluation epoch: 0.3186713457107544, epochs needed: 20
evaluating individudal 8 - 08cd149c53da7da2. Mean loss in evaluation epoch: 0.31848639249801636, epochs needed: 20
evaluating individudal 9 - 1e3c57c887309b4a. Mean loss in evaluation epoch: 0.3181063234806061, epochs needed: 20
evaluating individudal 10 - a317c836e50df28c. Mean loss in evaluation epoch: 0.31961438059806824, epochs needed: 20
evaluating individudal 11 - 8e87adf4790d0ffe. Mean loss in evaluation epoch: 0.3179995119571686, epochs needed: 20
evaluating individudal 12 - c106ea4fe9e113af. Mean loss in evaluation epoch: 0.3182651996612549, epochs needed: 20
evaluating individudal 13 - 256f502cbb3e64f3. Mean loss in evaluation epoch: 0.3182612657546997, epochs needed: 20
evaluating individudal 14 - 6bda5d5d8b9e5109. Mean loss in evaluation epoch: 0.31878775358200073, epochs needed: 20
evaluating individudal 15 - 693604296eea7d79. Mean loss in evaluation epoch: 0.3186098337173462, epochs needed: 20
evaluating individudal 16 - c2e3f1cee5403e86. Mean loss in evaluation epoch: 0.3197930157184601, epochs needed: 20
evaluating individudal 17 - af16bf8cfb4290c0. Mean loss in evaluation epoch: 0.3169935345649719, epochs needed: 20
evaluating individudal 18 - 70cbe8a64f715949. Mean loss in evaluation epoch: 0.31776463985443115, epochs needed: 20
evaluating individudal 19 - 2e6b30edb1d4db69. Mean loss in evaluation epoch: 0.3183228373527527, epochs needed: 20
evaluating individudal 20 - b425f52a4f39237a. Mean loss in evaluation epoch: 0.31931281089782715, epochs needed: 20
evaluating individudal 21 - bfc0fe1fdf81e0ff. Mean loss in evaluation epoch: 0.31899896264076233, epochs needed: 20
evaluating individudal 22 - 1d0ac5e685eca170. Mean loss in evaluation epoch: 0.3170190751552582, epochs needed: 20
evaluating individudal 23 - 527bba78623bfed3. Mean loss in evaluation epoch: 0.3182818591594696, epochs needed: 20
evaluating individudal 24 - 9ab375bc24071ec3. Mean loss in evaluation epoch: 0.31827181577682495, epochs needed: 20
evaluating individudal 25 - d0da0c51ed7d2e2d. Mean loss in evaluation epoch: 0.31996673345565796, epochs needed: 20
evaluating individudal 26 - e339579154c13bcf. Mean loss in evaluation epoch: 0.31908029317855835, epochs needed: 20
evaluating individudal 27 - 5450ba75bd90761c. Mean loss in evaluation epoch: 0.31866466999053955, epochs needed: 20
evaluating individudal 28 - 8d9b1bf48c7663d6. Mean loss in evaluation epoch: 0.3182528018951416, epochs needed: 20
evaluating individudal 29 - a8f9dc8c1cf1b6d5. Mean loss in evaluation epoch: 0.3191963732242584, epochs needed: 20
evaluating individudal 30 - ad779102fc91dd19. Mean loss in evaluation epoch: 0.3177492320537567, epochs needed: 20
evaluating individudal 31 - 8f91429c86335e1e. Mean loss in evaluation epoch: 0.31910139322280884, epochs needed: 20
evaluating individudal 32 - 4dea465dfdcb2fea. Mean loss in evaluation epoch: 0.32078468799591064, epochs needed: 20
evaluating individudal 33 - 7ead090f1706b93f. Mean loss in evaluation epoch: 0.31804174184799194, epochs needed: 20
evaluating individudal 34 - 2b002fb6280831e7. Mean loss in evaluation epoch: 0.3173680007457733, epochs needed: 20
evaluating individudal 35 - 27391d5b228f25ad. Mean loss in evaluation epoch: 0.31907808780670166, epochs needed: 20
evaluating individudal 36 - 0a76b38b9f652cd1. Mean loss in evaluation epoch: 0.31884869933128357, epochs needed: 20
evaluating individudal 37 - bb9f8dce5cdbcc29. Mean loss in evaluation epoch: 0.3188965618610382, epochs needed: 20
evaluating individudal 38 - 28208f742ed4bda2. Mean loss in evaluation epoch: 0.31670820713043213, epochs needed: 20
evaluating individudal 39 - f95126878d6c55f2. Mean loss in evaluation epoch: 0.31815752387046814, epochs needed: 20
evaluating individudal 0 - 3cf9b0f9ac7f1848. Mean loss in evaluation epoch: 0.31659606099128723, epochs needed: 20
evaluating individudal 1 - ae7207371f6092d5. Mean loss in evaluation epoch: 0.3179166316986084, epochs needed: 20
evaluating individudal 2 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.3169185519218445, epochs needed: 20
evaluating individudal 3 - 2cad374d3f270162. Mean loss in evaluation epoch: 0.3169860243797302, epochs needed: 20
evaluating individudal 4 - 1d2b71292bab61b9. Mean loss in evaluation epoch: 0.317164808511734, epochs needed: 20
evaluating individudal 5 - 657c6e0e1b35e68f. Mean loss in evaluation epoch: 0.31741809844970703, epochs needed: 20
evaluating individudal 6 - 97e97199ca549ef2. Mean loss in evaluation epoch: 0.317599356174469, epochs needed: 20
evaluating individudal 7 - dd0bfc0ba8feaadc. Mean loss in evaluation epoch: 0.31789514422416687, epochs needed: 20
evaluating individudal 8 - 880b23fbc7eca073. Mean loss in evaluation epoch: 0.31736069917678833, epochs needed: 20
evaluating individudal 9 - c4a35052f1307d46. Mean loss in evaluation epoch: 0.3171372413635254, epochs needed: 20
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3cf9b0f9ac7f1848, num_times_seen_before: 2
ACC: 0.38421052631578945
TPR/FPR: 0.4166666666666667, 0.6233766233766234
Loss: 0.31659606099128723
Timestamp: 2360.0135984770022
---------------------------------------------------------------
evaluating individudal 0 - 12792e8b88112fdd. Mean loss in evaluation epoch: 0.3186441659927368, epochs needed: 20
evaluating individudal 1 - 75a7a867af373b6f. Mean loss in evaluation epoch: 0.3171251118183136, epochs needed: 20
evaluating individudal 2 - 9e01ad3838dd3879. Mean loss in evaluation epoch: 0.31687164306640625, epochs needed: 20
evaluating individudal 3 - 40f4347f21a29840. Mean loss in evaluation epoch: 0.31885096430778503, epochs needed: 20
evaluating individudal 4 - ce22af151cf97de5. Mean loss in evaluation epoch: 0.31777119636535645, epochs needed: 20
evaluating individudal 5 - 45a106ded0b182d7. Mean loss in evaluation epoch: 0.31849291920661926, epochs needed: 20
