D:\Uni\BA\Development\data\final\netrd\SIS\timeseries_bull_1k_0.2_dontdie.pickle
D:\Uni\BA\Development\data\final\netrd\SIS\edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 1000
NUM_DYN_EPOCHS: 300
FORMAT: timeseries
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
Loss in Epoch 60: 0.6252232193946838
Loss in Epoch 61: 0.6246711611747742
Loss in Epoch 62: 0.6241233348846436
Loss in Epoch 63: 0.6235706210136414
Loss in Epoch 64: 0.6230242252349854
Loss in Epoch 65: 0.622475802898407
Loss in Epoch 66: 0.6219282746315002
Loss in Epoch 67: 0.6213813424110413
Loss in Epoch 68: 0.6208339333534241
Loss in Epoch 69: 0.6202895045280457
Loss in Epoch 70: 0.6197463870048523
Loss in Epoch 71: 0.6192044615745544
Loss in Epoch 72: 0.618661642074585
Loss in Epoch 73: 0.6181252598762512
Loss in Epoch 74: 0.6175892353057861
Loss in Epoch 75: 0.6170540452003479
Loss in Epoch 76: 0.6165223121643066
Loss in Epoch 77: 0.615989089012146
Loss in Epoch 78: 0.6154579520225525
Loss in Epoch 79: 0.614928126335144
Loss in Epoch 80: 0.6143991351127625
Loss in Epoch 81: 0.6138707995414734
Loss in Epoch 82: 0.613344669342041
Loss in Epoch 83: 0.6128186583518982
Loss in Epoch 84: 0.6122947931289673
Loss in Epoch 85: 0.6117717623710632
Loss in Epoch 86: 0.6112508773803711
Loss in Epoch 87: 0.6107321381568909
Loss in Epoch 88: 0.6102126240730286
Loss in Epoch 89: 0.6096935272216797
Loss in Epoch 90: 0.6091768741607666
Loss in Epoch 91: 0.6086646914482117
Loss in Epoch 92: 0.608147382736206
Loss in Epoch 93: 0.6076385974884033
Loss in Epoch 94: 0.6071240305900574
Loss in Epoch 95: 0.6066148281097412
Loss in Epoch 96: 0.6061068177223206
Loss in Epoch 97: 0.605597972869873
Loss in Epoch 98: 0.6050881743431091
Loss in Epoch 99: 0.6045858860015869
Loss in Epoch 100: 0.6040827035903931
Loss in Epoch 101: 0.6035804152488708
Loss in Epoch 102: 0.6030784845352173
Loss in Epoch 103: 0.6025772094726562
Loss in Epoch 104: 0.6020783185958862
Loss in Epoch 105: 0.6015806794166565
Loss in Epoch 106: 0.6010831594467163
Loss in Epoch 107: 0.6005884408950806
Loss in Epoch 108: 0.6000947952270508
Loss in Epoch 109: 0.5996013879776001
Loss in Epoch 110: 0.5991105437278748
Loss in Epoch 111: 0.5986213684082031
Loss in Epoch 112: 0.5981318354606628
Loss in Epoch 113: 0.5976425409317017
Loss in Epoch 114: 0.5971564054489136
Loss in Epoch 115: 0.5966701507568359
Loss in Epoch 116: 0.5961860418319702
Loss in Epoch 117: 0.5957027077674866
Loss in Epoch 118: 0.5952197313308716
Loss in Epoch 119: 0.5947396159172058
Loss in Epoch 120: 0.5942613482475281
Loss in Epoch 121: 0.5937801003456116
Loss in Epoch 122: 0.5933058857917786
Loss in Epoch 123: 0.5928286910057068
Loss in Epoch 124: 0.5923527479171753
Loss in Epoch 125: 0.5918803811073303
Loss in Epoch 126: 0.5914083123207092
Loss in Epoch 127: 0.5909392833709717
Loss in Epoch 128: 0.5904664397239685
Loss in Epoch 129: 0.5899977684020996
Loss in Epoch 130: 0.5895292162895203
Loss in Epoch 131: 0.5890634655952454
Loss in Epoch 132: 0.5885985493659973
Loss in Epoch 133: 0.5881349444389343
Loss in Epoch 134: 0.5876721739768982
Loss in Epoch 135: 0.5872094631195068
Loss in Epoch 136: 0.5867502093315125
Loss in Epoch 137: 0.5862897634506226
Loss in Epoch 138: 0.585830807685852
Loss in Epoch 139: 0.5853719115257263
Loss in Epoch 140: 0.5849167704582214
Loss in Epoch 141: 0.5844634771347046
Loss in Epoch 142: 0.5840094685554504
Loss in Epoch 143: 0.5835573673248291
Loss in Epoch 144: 0.5831058025360107
Loss in Epoch 145: 0.582653284072876
Loss in Epoch 146: 0.5822054743766785
Loss in Epoch 147: 0.5817580223083496
Loss in Epoch 148: 0.5813108682632446
Loss in Epoch 149: 0.5808658003807068
Loss in Epoch 150: 0.5804193615913391
Loss in Epoch 151: 0.5799740552902222
Loss in Epoch 152: 0.5795361399650574
Loss in Epoch 153: 0.5790938138961792
Loss in Epoch 154: 0.578652560710907
Loss in Epoch 155: 0.5782140493392944
Loss in Epoch 156: 0.5777769684791565
Loss in Epoch 157: 0.577338695526123
Loss in Epoch 158: 0.5769052505493164
Loss in Epoch 159: 0.5764710903167725
Loss in Epoch 160: 0.5760392546653748
Loss in Epoch 161: 0.5756039619445801
Loss in Epoch 162: 0.5751753449440002
Loss in Epoch 163: 0.5747449994087219
Loss in Epoch 164: 0.5743165612220764
Loss in Epoch 165: 0.57388836145401
Loss in Epoch 166: 0.5734604597091675
Loss in Epoch 167: 0.5730357766151428
Loss in Epoch 168: 0.572610080242157
Loss in Epoch 169: 0.5721879601478577
Loss in Epoch 170: 0.5717650055885315
Loss in Epoch 171: 0.5713444352149963
Loss in Epoch 172: 0.5709241032600403
Loss in Epoch 173: 0.5705056190490723
Loss in Epoch 174: 0.5700891613960266
Loss in Epoch 175: 0.5696711540222168
Loss in Epoch 176: 0.5692563652992249
Loss in Epoch 177: 0.5688402056694031
Loss in Epoch 178: 0.5684269070625305
Loss in Epoch 179: 0.5680149793624878
Loss in Epoch 180: 0.567604660987854
Loss in Epoch 181: 0.5671941637992859
Loss in Epoch 182: 0.5667847394943237
Loss in Epoch 183: 0.5663763284683228
Loss in Epoch 184: 0.5659707188606262
Loss in Epoch 185: 0.5655642747879028
Loss in Epoch 186: 0.5651594996452332
Loss in Epoch 187: 0.5647552609443665
Loss in Epoch 188: 0.5643500685691833
Loss in Epoch 189: 0.5639505982398987
Loss in Epoch 190: 0.5635491609573364
Loss in Epoch 191: 0.5631512999534607
Loss in Epoch 192: 0.562750518321991
Loss in Epoch 193: 0.5623545050621033
Loss in Epoch 194: 0.5619576573371887
Loss in Epoch 195: 0.5615630745887756
Loss in Epoch 196: 0.5611664652824402
Loss in Epoch 197: 0.5607746839523315
Loss in Epoch 198: 0.5603832602500916
Loss in Epoch 199: 0.5599923133850098
Loss in Epoch 200: 0.5596001148223877
Loss in Epoch 201: 0.5592132210731506
Loss in Epoch 202: 0.5588240027427673
Loss in Epoch 203: 0.5584364533424377
Loss in Epoch 204: 0.5580509901046753
Loss in Epoch 205: 0.5576664805412292
Loss in Epoch 206: 0.5572836399078369
Loss in Epoch 207: 0.5568981766700745
Loss in Epoch 208: 0.5565189123153687
Loss in Epoch 209: 0.5561394691467285
Loss in Epoch 210: 0.5557565093040466
Loss in Epoch 211: 0.5553771257400513
Loss in Epoch 212: 0.5550000667572021
Loss in Epoch 213: 0.5546233654022217
Loss in Epoch 214: 0.554248034954071
Loss in Epoch 215: 0.55387282371521
Loss in Epoch 216: 0.5534980297088623
Loss in Epoch 217: 0.5531246662139893
Loss in Epoch 218: 0.5527519583702087
Loss in Epoch 219: 0.5523836016654968
Loss in Epoch 220: 0.5520139336585999
Loss in Epoch 221: 0.5516443848609924
Loss in Epoch 222: 0.5512762665748596
Loss in Epoch 223: 0.5509089231491089
Loss in Epoch 224: 0.5505436658859253
Loss in Epoch 225: 0.5501787066459656
Loss in Epoch 226: 0.5498167276382446
Loss in Epoch 227: 0.5494509935379028
Loss in Epoch 228: 0.5490897297859192
Loss in Epoch 229: 0.5487298369407654
Loss in Epoch 230: 0.5483682751655579
Loss in Epoch 231: 0.5480096340179443
Loss in Epoch 232: 0.5476512908935547
Loss in Epoch 233: 0.5472952723503113
Loss in Epoch 234: 0.5469397306442261
Loss in Epoch 235: 0.5465824604034424
Loss in Epoch 236: 0.5462292432785034
Loss in Epoch 237: 0.5458746552467346
Loss in Epoch 238: 0.5455225110054016
Loss in Epoch 239: 0.5451729893684387
Loss in Epoch 240: 0.5448201298713684
Loss in Epoch 241: 0.5444715023040771
Loss in Epoch 242: 0.5441229343414307
Loss in Epoch 243: 0.5437796711921692
Loss in Epoch 244: 0.5434308052062988
Loss in Epoch 245: 0.5430829524993896
Loss in Epoch 246: 0.5427408814430237
Loss in Epoch 247: 0.5423964262008667
Loss in Epoch 248: 0.5420528650283813
Loss in Epoch 249: 0.5417107343673706
Loss in Epoch 250: 0.5413700938224792
Loss in Epoch 251: 0.5410303473472595
Loss in Epoch 252: 0.5406913757324219
Loss in Epoch 253: 0.5403534173965454
Loss in Epoch 254: 0.5400143265724182
Loss in Epoch 255: 0.5396774411201477
Loss in Epoch 256: 0.5393422842025757
Loss in Epoch 257: 0.5390087366104126
Loss in Epoch 258: 0.5386751294136047
Loss in Epoch 259: 0.5383432507514954
Loss in Epoch 260: 0.5380128026008606
Loss in Epoch 261: 0.5376802086830139
Loss in Epoch 262: 0.5373508930206299
Loss in Epoch 263: 0.5370213389396667
Loss in Epoch 264: 0.5366942286491394
Loss in Epoch 265: 0.5363662242889404
Loss in Epoch 266: 0.5360401272773743
Loss in Epoch 267: 0.5357140302658081
Loss in Epoch 268: 0.5353904962539673
Loss in Epoch 269: 0.5350675582885742
Loss in Epoch 270: 0.5347447395324707
Loss in Epoch 271: 0.5344215631484985
Loss in Epoch 272: 0.5341018438339233
Loss in Epoch 273: 0.5337811708450317
Loss in Epoch 274: 0.5334625840187073
Loss in Epoch 275: 0.5331443548202515
Loss in Epoch 276: 0.5328257083892822
Loss in Epoch 277: 0.5325095653533936
Loss in Epoch 278: 0.532194972038269
Loss in Epoch 279: 0.5318798422813416
Loss in Epoch 280: 0.5315654277801514
Loss in Epoch 281: 0.5312528610229492
Loss in Epoch 282: 0.53094083070755
Loss in Epoch 283: 0.530628502368927
Loss in Epoch 284: 0.5303186178207397
Loss in Epoch 285: 0.5300098657608032
Loss in Epoch 286: 0.5297008156776428
Loss in Epoch 287: 0.529392659664154
Loss in Epoch 288: 0.5290868878364563
Loss in Epoch 289: 0.5287807583808899
Loss in Epoch 290: 0.5284749269485474
Loss in Epoch 291: 0.5281708240509033
Loss in Epoch 292: 0.5278674364089966
Loss in Epoch 293: 0.5275651216506958
Loss in Epoch 294: 0.5272634625434875
Loss in Epoch 295: 0.526961624622345
Loss in Epoch 296: 0.5266606211662292
Loss in Epoch 297: 0.5263610482215881
Loss in Epoch 298: 0.5260639190673828
Loss in Epoch 299: 0.5257662534713745
Mean loss in evaluation epoch: 0.5254692435264587, epochs needed: 300
