num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - e78a65b70d3193a8. Mean loss in evaluation epoch: 0.1147635206580162, epochs needed: 200
evaluating individudal 17 - 6494dd1b12c37ec4. Mean loss in evaluation epoch: 0.11341620981693268, epochs needed: 200
evaluating individudal 18 - 49b21b5b8393d603. Mean loss in evaluation epoch: 0.11474251002073288, epochs needed: 200
evaluating individudal 19 - 1820a04a75872d9b. Mean loss in evaluation epoch: 0.11596937477588654, epochs needed: 200
evaluating individudal 20 - a7fe588842d6466a. Mean loss in evaluation epoch: 0.11551524698734283, epochs needed: 200
evaluating individudal 21 - e5551354918fa8e6. Mean loss in evaluation epoch: 0.11796589940786362, epochs needed: 200
evaluating individudal 22 - 88ac706136fc93cf. Mean loss in evaluation epoch: 0.1164812371134758, epochs needed: 200
evaluating individudal 23 - d92edcb6cb76d83d. Mean loss in evaluation epoch: 0.11988581717014313, epochs needed: 200
evaluating individudal 24 - 47ce2c221c6a6e89. Mean loss in evaluation epoch: 0.1147441416978836, epochs needed: 200
evaluating individudal 25 - 8d3902a84362f6cf. Mean loss in evaluation epoch: 0.11216626316308975, epochs needed: 200
evaluating individudal 26 - 5ea62e905e812cf5. Mean loss in evaluation epoch: 0.11450795084238052, epochs needed: 200
evaluating individudal 27 - 6fe0b586e7a22e63. Mean loss in evaluation epoch: 0.11404402554035187, epochs needed: 200
evaluating individudal 28 - f68378572c6ab20e. Mean loss in evaluation epoch: 0.11470752209424973, epochs needed: 200
evaluating individudal 29 - 37fa53bb96eef7db. Mean loss in evaluation epoch: 0.12507908046245575, epochs needed: 200
evaluating individudal 30 - 6609fade5abdba7d. Mean loss in evaluation epoch: 0.11883623898029327, epochs needed: 200
evaluating individudal 31 - 76fb2f917a24b63f. Mean loss in evaluation epoch: 0.1190846785902977, epochs needed: 200
evaluating individudal 32 - 6a521aca0460c3d2. Mean loss in evaluation epoch: 0.11673671007156372, epochs needed: 200
evaluating individudal 33 - 8d2bceacd22bf48c. Mean loss in evaluation epoch: 0.1160808801651001, epochs needed: 200
evaluating individudal 34 - 039a138ac7418884. Mean loss in evaluation epoch: 0.11526737362146378, epochs needed: 200
evaluating individudal 35 - 2dae14afcb9f8cdf. Mean loss in evaluation epoch: 0.1161760687828064, epochs needed: 200
evaluating individudal 36 - e0acf9271d8605e8. Mean loss in evaluation epoch: 0.11514152586460114, epochs needed: 200
evaluating individudal 37 - ab3dc28da614f994. Mean loss in evaluation epoch: 0.11850669234991074, epochs needed: 200
evaluating individudal 38 - 0987f70afbf2fb6b. Mean loss in evaluation epoch: 0.12326779216527939, epochs needed: 200
evaluating individudal 39 - cfe79f7598db90b1. Mean loss in evaluation epoch: 0.11651032418012619, epochs needed: 200
evaluating individudal 0 - e78a65b70d3193a8. Mean loss in evaluation epoch: 0.11687880009412766, epochs needed: 200
evaluating individudal 1 - c590b92f8078d989. Mean loss in evaluation epoch: 0.1154162809252739, epochs needed: 200
evaluating individudal 2 - fd2e47980364863e. Mean loss in evaluation epoch: 0.11283811181783676, epochs needed: 200
evaluating individudal 3 - 9764b791a3f92b26. Mean loss in evaluation epoch: 0.12658588588237762, epochs needed: 200
evaluating individudal 4 - f990328190da7c56. Mean loss in evaluation epoch: 0.11611366271972656, epochs needed: 200
evaluating individudal 5 - 0e4aeac190831969. Mean loss in evaluation epoch: 0.1251569539308548, epochs needed: 200
evaluating individudal 6 - 65431fb625d68a2a. Mean loss in evaluation epoch: 0.12541265785694122, epochs needed: 200
evaluating individudal 7 - e558069ae39897c9. Mean loss in evaluation epoch: 0.1169821172952652, epochs needed: 200
evaluating individudal 8 - 51dd6d1e8123e0ee. Mean loss in evaluation epoch: 0.12065185606479645, epochs needed: 200
evaluating individudal 9 - 991bad6b02d8a7ed. Mean loss in evaluation epoch: 0.11371636390686035, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 8d3902a84362f6cf, num_times_seen_before: 0
ACC: 0.5473684210526315
TPR/FPR: 0.6388888888888888, 0.474025974025974
Loss: 0.11216626316308975
Timestamp: 2602.9977129080216
---------------------------------------------------------------
evaluating individudal 0 - ec3c478a2b21e759. Mean loss in evaluation epoch: 0.11179651319980621, epochs needed: 50
evaluating individudal 1 - 0a22fb3470ccd2c1. Mean loss in evaluation epoch: 0.11202718317508698, epochs needed: 50
evaluating individudal 2 - 7cc3971ebf417b87. Mean loss in evaluation epoch: 0.1105596050620079, epochs needed: 50
evaluating individudal 3 - 5762af500d1595d3. Mean loss in evaluation epoch: 0.13516347110271454, epochs needed: 50
evaluating individudal 4 - bf813eca62fb5f98. Mean loss in evaluation epoch: 0.11041291058063507, epochs needed: 50
evaluating individudal 5 - d2ffd1e39ae301f9. Mean loss in evaluation epoch: 0.1095917597413063, epochs needed: 50
evaluating individudal 6 - 400905ff9c41f371. Mean loss in evaluation epoch: 0.11365866661071777, epochs needed: 50
evaluating individudal 7 - 25ed20cbc7ca6b1a. Mean loss in evaluation epoch: 0.11054641008377075, epochs needed: 50
evaluating individudal 8 - de07a7e16dfaa46a. Mean loss in evaluation epoch: 0.11124198883771896, epochs needed: 50
evaluating individudal 9 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.1087670549750328, epochs needed: 50
evaluating individudal 10 - 173552cfaeeb05c8. Mean loss in evaluation epoch: 0.11066266149282455, epochs needed: 50
evaluating individudal 11 - 939f0e234bc02eeb. Mean loss in evaluation epoch: 0.11039097607135773, epochs needed: 50
evaluating individudal 12 - db1d745ef423711d. Mean loss in evaluation epoch: 0.11138539761304855, epochs needed: 50
evaluating individudal 13 - b1baf3f4296b9237. Mean loss in evaluation epoch: 0.11083094030618668, epochs needed: 50
evaluating individudal 14 - cc254306f8588f3c. Mean loss in evaluation epoch: 0.1097085028886795, epochs needed: 50
evaluating individudal 15 - d3e2223f0ef26930. Mean loss in evaluation epoch: 0.11071187257766724, epochs needed: 50
evaluating individudal 16 - 899a118352a6d12a. Mean loss in evaluation epoch: 0.11428693681955338, epochs needed: 50
evaluating individudal 17 - 464bfc9be8c1bad4. Mean loss in evaluation epoch: 0.11130283027887344, epochs needed: 50
evaluating individudal 18 - 6be6afe1e9645bff. Mean loss in evaluation epoch: 0.11132784187793732, epochs needed: 50
evaluating individudal 19 - 00ef012ef2c815fb. Mean loss in evaluation epoch: 0.11305441707372665, epochs needed: 50
evaluating individudal 20 - 86295a3208aa5ab0. Mean loss in evaluation epoch: 0.11209988594055176, epochs needed: 50
evaluating individudal 21 - e22695424e9b46b7. Mean loss in evaluation epoch: 0.10953877121210098, epochs needed: 50
evaluating individudal 22 - 68823cccec9fe334. Mean loss in evaluation epoch: 0.11187299340963364, epochs needed: 50
evaluating individudal 23 - 5ca759b58169fa14. Mean loss in evaluation epoch: 0.1102028414607048, epochs needed: 50
evaluating individudal 24 - 176220c2522030ac. Mean loss in evaluation epoch: 0.11861612647771835, epochs needed: 50
evaluating individudal 25 - 865b474aabc9acfe. Mean loss in evaluation epoch: 0.11149294674396515, epochs needed: 50
evaluating individudal 26 - 768ead7b19c40ff3. Mean loss in evaluation epoch: 0.11043107509613037, epochs needed: 50
evaluating individudal 27 - 3d940ca0d57af65b. Mean loss in evaluation epoch: 0.10999307781457901, epochs needed: 50
evaluating individudal 28 - 52ec73c2941f3719. Mean loss in evaluation epoch: 0.11059083044528961, epochs needed: 50
evaluating individudal 29 - c12ff8aea34ad37d. Mean loss in evaluation epoch: 0.11034311354160309, epochs needed: 50
evaluating individudal 30 - 9509daca3ea503bc. Mean loss in evaluation epoch: 0.1088629737496376, epochs needed: 50
evaluating individudal 31 - c659b8bf2764a85c. Mean loss in evaluation epoch: 0.11199283599853516, epochs needed: 50
evaluating individudal 32 - e3386ced810f0a3c. Mean loss in evaluation epoch: 0.11321121454238892, epochs needed: 50
evaluating individudal 33 - 157a864b05f55c46. Mean loss in evaluation epoch: 0.10858750343322754, epochs needed: 50
evaluating individudal 34 - 3b8f45aea161fb9b. Mean loss in evaluation epoch: 0.10880284756422043, epochs needed: 50
evaluating individudal 35 - 4350ee96ebf0ec01. Mean loss in evaluation epoch: 0.11024301499128342, epochs needed: 50
evaluating individudal 36 - 524c3a12274f2a47. Mean loss in evaluation epoch: 0.11175554990768433, epochs needed: 50
evaluating individudal 37 - 9ce0f5bac43b7991. Mean loss in evaluation epoch: 0.10769207775592804, epochs needed: 50
evaluating individudal 38 - 8e0f8e912ee3cb78. Mean loss in evaluation epoch: 0.10927999019622803, epochs needed: 50
evaluating individudal 39 - 4ee6db8c50ce9773. Mean loss in evaluation epoch: 0.11173172295093536, epochs needed: 50
evaluating individudal 0 - 8d3902a84362f6cf. Mean loss in evaluation epoch: 0.10972793400287628, epochs needed: 50
evaluating individudal 1 - fd2e47980364863e. Mean loss in evaluation epoch: 0.11025698482990265, epochs needed: 50
evaluating individudal 2 - c669d92e6ff6f9c8. Mean loss in evaluation epoch: 0.11082339286804199, epochs needed: 50
evaluating individudal 3 - adad4841627140f6. Mean loss in evaluation epoch: 0.11179258674383163, epochs needed: 50
evaluating individudal 4 - 6494dd1b12c37ec4. Mean loss in evaluation epoch: 0.10988276451826096, epochs needed: 50
evaluating individudal 5 - 265ffc7f599eaf77. Mean loss in evaluation epoch: 0.11021878570318222, epochs needed: 50
evaluating individudal 6 - 991bad6b02d8a7ed. Mean loss in evaluation epoch: 0.110892653465271, epochs needed: 50
evaluating individudal 7 - 83fd9bbd0138db9b. Mean loss in evaluation epoch: 0.10834681987762451, epochs needed: 50
evaluating individudal 8 - 6fe0b586e7a22e63. Mean loss in evaluation epoch: 0.11042384058237076, epochs needed: 50
evaluating individudal 9 - 2ce038e228c93393. Mean loss in evaluation epoch: 0.11172392219305038, epochs needed: 50
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 9ce0f5bac43b7991, num_times_seen_before: 0
ACC: 0.5421052631578948
TPR/FPR: 0.8055555555555556, 0.5194805194805194
Loss: 0.10769207775592804
Timestamp: 3335.5152746860113
---------------------------------------------------------------
evaluating individudal 0 - 1520e456e950fff9. Mean loss in evaluation epoch: 0.10669436305761337, epochs needed: 50
evaluating individudal 1 - 4667e65258edeec6. Mean loss in evaluation epoch: 0.10790853947401047, epochs needed: 50
evaluating individudal 2 - f12dac62dd0f60b1. Mean loss in evaluation epoch: 0.10683546215295792, epochs needed: 50
evaluating individudal 3 - 6b9934e9558e2fe2. Mean loss in evaluation epoch: 0.10779992491006851, epochs needed: 50
evaluating individudal 4 - 68aeb1d3372e06f1. Mean loss in evaluation epoch: 0.10670409351587296, epochs needed: 50
evaluating individudal 5 - cfbe1f753fe37bf2. Mean loss in evaluation epoch: 0.10624402016401291, epochs needed: 50
evaluating individudal 6 - 8dbd8f0a9f5a1215. Mean loss in evaluation epoch: 0.10581185668706894, epochs needed: 50
evaluating individudal 7 - 72d2b6979bdfa1c2. Mean loss in evaluation epoch: 0.105751633644104, epochs needed: 50
evaluating individudal 8 - 6d8b4a250c608266. Mean loss in evaluation epoch: 0.1077515035867691, epochs needed: 50
evaluating individudal 9 - 86734425fcda68f5. Mean loss in evaluation epoch: 0.10699174553155899, epochs needed: 50
evaluating individudal 10 - 552447c7b3abd88b. Mean loss in evaluation epoch: 0.10818224400281906, epochs needed: 50
evaluating individudal 11 - 768db674fb4b3a43. Mean loss in evaluation epoch: 0.10635465383529663, epochs needed: 50
evaluating individudal 12 - 7f06e6cdc642d6c1. Mean loss in evaluation epoch: 0.11288560926914215, epochs needed: 50
evaluating individudal 13 - c6ac6f05846a4ae6. Mean loss in evaluation epoch: 0.10805854946374893, epochs needed: 50
evaluating individudal 14 - 869fed252dc95862. Mean loss in evaluation epoch: 0.10841774940490723, epochs needed: 50
evaluating individudal 15 - 49f27d95f3af3622. Mean loss in evaluation epoch: 0.10728245228528976, epochs needed: 50
evaluating individudal 16 - 03cd60426550aa95. Mean loss in evaluation epoch: 0.10733529180288315, epochs needed: 50
evaluating individudal 17 - b27aa83e6bb49b31. Mean loss in evaluation epoch: 0.10798720270395279, epochs needed: 50
evaluating individudal 18 - e6152cdd94712e6f. Mean loss in evaluation epoch: 0.1062631607055664, epochs needed: 50
evaluating individudal 19 - 7901708e78e47775. Mean loss in evaluation epoch: 0.10814253240823746, epochs needed: 50
evaluating individudal 20 - 89889e906d0091ea. Mean loss in evaluation epoch: 0.10514602810144424, epochs needed: 50
evaluating individudal 21 - 3a58a151ae7a35ef. Mean loss in evaluation epoch: 0.10522160679101944, epochs needed: 50
evaluating individudal 22 - 7e95ab3a73b51d1e. Mean loss in evaluation epoch: 0.10832083225250244, epochs needed: 50
evaluating individudal 23 - 907a0c42cadd2e60. Mean loss in evaluation epoch: 0.10825540125370026, epochs needed: 50
evaluating individudal 24 - d6c52f58f5f97c56. Mean loss in evaluation epoch: 0.10880129784345627, epochs needed: 50
evaluating individudal 25 - a86276f65a3fdc98. Mean loss in evaluation epoch: 0.10636915266513824, epochs needed: 50
evaluating individudal 26 - 9af26622222402e2. Mean loss in evaluation epoch: 0.1094215139746666, epochs needed: 50
evaluating individudal 27 - a6f88195e3604b6f. Mean loss in evaluation epoch: 0.10599656403064728, epochs needed: 50
evaluating individudal 28 - c79ccd4a76e686f8. Mean loss in evaluation epoch: 0.10755785554647446, epochs needed: 50
evaluating individudal 29 - c5f8d8bec74ef7cc. Mean loss in evaluation epoch: 0.1070760041475296, epochs needed: 50
evaluating individudal 30 - ce29bcfa784c4343. Mean loss in evaluation epoch: 0.1072772741317749, epochs needed: 50
evaluating individudal 31 - 9c7f000160de359d. Mean loss in evaluation epoch: 0.10767693817615509, epochs needed: 50
evaluating individudal 32 - 7d5c9a80d77bbba5. Mean loss in evaluation epoch: 0.10834624618291855, epochs needed: 50
evaluating individudal 33 - cd030ad5b8f1f602. Mean loss in evaluation epoch: 0.10727665573358536, epochs needed: 50
evaluating individudal 34 - 7271a68b3c5c2c38. Mean loss in evaluation epoch: 0.10637038201093674, epochs needed: 50
evaluating individudal 35 - 5d99fbafaf5bf046. Mean loss in evaluation epoch: 0.10566778481006622, epochs needed: 50
evaluating individudal 36 - 138fd96485b98cf4. Mean loss in evaluation epoch: 0.10646700114011765, epochs needed: 50
evaluating individudal 37 - 538512caed46fc91. Mean loss in evaluation epoch: 0.1045222282409668, epochs needed: 50
evaluating individudal 38 - 24967b9cfb283581. Mean loss in evaluation epoch: 0.10588400810956955, epochs needed: 50
evaluating individudal 39 - 4de66b40cdbea438. Mean loss in evaluation epoch: 0.10695363581180573, epochs needed: 50
evaluating individudal 0 - 9ce0f5bac43b7991. Mean loss in evaluation epoch: 0.10872673988342285, epochs needed: 50
evaluating individudal 1 - 83fd9bbd0138db9b. Mean loss in evaluation epoch: 0.10872604697942734, epochs needed: 50
evaluating individudal 2 - 157a864b05f55c46. Mean loss in evaluation epoch: 0.10659030824899673, epochs needed: 50
evaluating individudal 3 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.10584413260221481, epochs needed: 50
evaluating individudal 4 - 3b8f45aea161fb9b. Mean loss in evaluation epoch: 0.10752653330564499, epochs needed: 50
evaluating individudal 5 - 9509daca3ea503bc. Mean loss in evaluation epoch: 0.10613497346639633, epochs needed: 50
evaluating individudal 6 - 8e0f8e912ee3cb78. Mean loss in evaluation epoch: 0.10779333114624023, epochs needed: 50
evaluating individudal 7 - e22695424e9b46b7. Mean loss in evaluation epoch: 0.1068052276968956, epochs needed: 50
evaluating individudal 8 - d2ffd1e39ae301f9. Mean loss in evaluation epoch: 0.10883839428424835, epochs needed: 50
evaluating individudal 9 - cc254306f8588f3c. Mean loss in evaluation epoch: 0.11223500221967697, epochs needed: 50
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 538512caed46fc91, num_times_seen_before: 0
ACC: 0.6105263157894737
TPR/FPR: 0.9166666666666666, 0.461038961038961
Loss: 0.1045222282409668
Timestamp: 4023.7137061550166
---------------------------------------------------------------
evaluating individudal 0 - d639d24decd139bb. Mean loss in evaluation epoch: 0.1053660437464714, epochs needed: 50
evaluating individudal 1 - 906c5b1044571c89. Mean loss in evaluation epoch: 0.10269420593976974, epochs needed: 50
evaluating individudal 2 - 650d0dd699bfda8c. Mean loss in evaluation epoch: 0.10263936966657639, epochs needed: 50
evaluating individudal 3 - e5a2b6d5f4bf85b1. Mean loss in evaluation epoch: 0.10414912551641464, epochs needed: 50
evaluating individudal 4 - 54f11b0068efd029. Mean loss in evaluation epoch: 0.10337402671575546, epochs needed: 50
evaluating individudal 5 - 5b9afd06971c0fe6. Mean loss in evaluation epoch: 0.10584044456481934, epochs needed: 50
evaluating individudal 6 - a34c604afd84f41e. Mean loss in evaluation epoch: 0.10437998920679092, epochs needed: 50
evaluating individudal 7 - 58d16fc2f1884326. Mean loss in evaluation epoch: 0.1010599285364151, epochs needed: 50
evaluating individudal 8 - d494fc576cfadfa5. Mean loss in evaluation epoch: 0.10180921852588654, epochs needed: 50
evaluating individudal 9 - 5332c26a8c1a68d5. Mean loss in evaluation epoch: 0.10271769016981125, epochs needed: 50
evaluating individudal 10 - 7086d776cdadb681. Mean loss in evaluation epoch: 0.10428350418806076, epochs needed: 50
evaluating individudal 11 - afd091a6fcf432d8. Mean loss in evaluation epoch: 0.10373814404010773, epochs needed: 50
evaluating individudal 12 - 7b7c089362bacc6b. Mean loss in evaluation epoch: 0.10430298000574112, epochs needed: 50
evaluating individudal 13 - eca41dd9491f1cee. Mean loss in evaluation epoch: 0.1020449623465538, epochs needed: 50
evaluating individudal 14 - 3a7c09fca9259bd6. Mean loss in evaluation epoch: 0.10293453186750412, epochs needed: 50
evaluating individudal 15 - 0b05a58b475431b4. Mean loss in evaluation epoch: 0.10259553045034409, epochs needed: 50
evaluating individudal 16 - 78ed3fdb7704f907. Mean loss in evaluation epoch: 0.10359285026788712, epochs needed: 50
evaluating individudal 17 - 9c6b29b7a48cc9fc. Mean loss in evaluation epoch: 0.1026698499917984, epochs needed: 50
evaluating individudal 18 - 667a7ed728c46fd6. Mean loss in evaluation epoch: 0.10269773006439209, epochs needed: 50
evaluating individudal 19 - 94d8593e2d6709b2. Mean loss in evaluation epoch: 0.10318698734045029, epochs needed: 50
evaluating individudal 20 - c9fd00a5b777a7f6. Mean loss in evaluation epoch: 0.10219796001911163, epochs needed: 50
evaluating individudal 21 - e35ae02395d102d4. Mean loss in evaluation epoch: 0.10353114455938339, epochs needed: 50
evaluating individudal 22 - eedf54a2c9bf0e1c. Mean loss in evaluation epoch: 0.10218286514282227, epochs needed: 50
evaluating individudal 23 - 919c56ec646cd309. Mean loss in evaluation epoch: 0.10274603217840195, epochs needed: 50
evaluating individudal 24 - 4526717378df0394. Mean loss in evaluation epoch: 0.10312557220458984, epochs needed: 50
evaluating individudal 25 - e3dac2a6464f5173. Mean loss in evaluation epoch: 0.10163378715515137, epochs needed: 50
evaluating individudal 26 - ab5243a3ab252739. Mean loss in evaluation epoch: 0.10321495682001114, epochs needed: 50
evaluating individudal 27 - e1c76a4c6fd3ce5b. Mean loss in evaluation epoch: 0.10116312652826309, epochs needed: 50
evaluating individudal 28 - 0b5fc7bf495d2afc. Mean loss in evaluation epoch: 0.10359897464513779, epochs needed: 50
evaluating individudal 29 - 3aabd8151d33079e. Mean loss in evaluation epoch: 0.10306276381015778, epochs needed: 50
evaluating individudal 30 - 8ee0b0e898fca3af. Mean loss in evaluation epoch: 0.10270029306411743, epochs needed: 50
evaluating individudal 31 - 33fa4cae270631d6. Mean loss in evaluation epoch: 0.10185734182596207, epochs needed: 50
evaluating individudal 32 - dd47f281b4faaa47. Mean loss in evaluation epoch: 0.10406160354614258, epochs needed: 50
evaluating individudal 33 - bfcff5e47faea3ba. Mean loss in evaluation epoch: 0.09924094378948212, epochs needed: 50
evaluating individudal 34 - 56c954b2b068bbe0. Mean loss in evaluation epoch: 0.10246744006872177, epochs needed: 50
evaluating individudal 35 - c79bd773aa296a21. Mean loss in evaluation epoch: 0.10114305466413498, epochs needed: 50
evaluating individudal 36 - 2885fa3c7c70c51d. Mean loss in evaluation epoch: 0.10303755849599838, epochs needed: 50
evaluating individudal 37 - 978729ad28d16db7. Mean loss in evaluation epoch: 0.10295840352773666, epochs needed: 50
evaluating individudal 38 - 88dbf53e718d7dfa. Mean loss in evaluation epoch: 0.10070357471704483, epochs needed: 50
evaluating individudal 39 - 8ed8ce0085b27833. Mean loss in evaluation epoch: 0.09812190383672714, epochs needed: 50
evaluating individudal 0 - 538512caed46fc91. Mean loss in evaluation epoch: 0.10317303985357285, epochs needed: 50
evaluating individudal 1 - 89889e906d0091ea. Mean loss in evaluation epoch: 0.10329382866621017, epochs needed: 50
evaluating individudal 2 - 3a58a151ae7a35ef. Mean loss in evaluation epoch: 0.102597177028656, epochs needed: 50
evaluating individudal 3 - 5d99fbafaf5bf046. Mean loss in evaluation epoch: 0.10463104397058487, epochs needed: 50
evaluating individudal 4 - 72d2b6979bdfa1c2. Mean loss in evaluation epoch: 0.10302058607339859, epochs needed: 50
evaluating individudal 5 - 8dbd8f0a9f5a1215. Mean loss in evaluation epoch: 0.10276500135660172, epochs needed: 50
evaluating individudal 6 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.10529502481222153, epochs needed: 50
evaluating individudal 7 - 24967b9cfb283581. Mean loss in evaluation epoch: 0.10338421911001205, epochs needed: 50
evaluating individudal 8 - a6f88195e3604b6f. Mean loss in evaluation epoch: 0.10474018007516861, epochs needed: 50
evaluating individudal 9 - 9509daca3ea503bc. Mean loss in evaluation epoch: 0.10506069660186768, epochs needed: 50
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 8ed8ce0085b27833, num_times_seen_before: 0
ACC: 0.7578947368421053
TPR/FPR: 1.0, 0.2987012987012987
Loss: 0.09812190383672714
Timestamp: 4713.729534550017
---------------------------------------------------------------
evaluating individudal 0 - 492535d0ca4a898c. Mean loss in evaluation epoch: 0.10932322591543198, epochs needed: 50
evaluating individudal 1 - bf176a70d43f68b4. Mean loss in evaluation epoch: 0.09629920870065689, epochs needed: 50
evaluating individudal 2 - 1545f9b27c3b5829. Mean loss in evaluation epoch: 0.10059086233377457, epochs needed: 50
evaluating individudal 3 - 74a698078d3018b4. Mean loss in evaluation epoch: 0.09955363720655441, epochs needed: 50
evaluating individudal 4 - c3092e0cde59d100. Mean loss in evaluation epoch: 0.09927923232316971, epochs needed: 50
evaluating individudal 5 - 224288145ee81a8b. Mean loss in evaluation epoch: 0.09887415170669556, epochs needed: 50
evaluating individudal 6 - eee2c71380836791. Mean loss in evaluation epoch: 0.10017750412225723, epochs needed: 50
