num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - b7c4881a1e243abd. Mean loss in evaluation epoch: 0.05379345640540123, epochs needed: 200
evaluating individudal 2 - 00254564aa502937. Mean loss in evaluation epoch: 0.04807300865650177, epochs needed: 200
evaluating individudal 3 - 8221e310f4d92995. Mean loss in evaluation epoch: 0.05005930736660957, epochs needed: 200
evaluating individudal 4 - 62bf569feb72d67f. Mean loss in evaluation epoch: 0.05003683641552925, epochs needed: 200
evaluating individudal 5 - d25d91c1f79e39ba. Mean loss in evaluation epoch: 0.05493411049246788, epochs needed: 200
evaluating individudal 6 - 53207d9cd63c35bb. Mean loss in evaluation epoch: 0.05024466663599014, epochs needed: 200
evaluating individudal 7 - cdf82676fb6f829f. Mean loss in evaluation epoch: 0.053938012570142746, epochs needed: 200
evaluating individudal 8 - b24b605e6700c92b. Mean loss in evaluation epoch: 0.04853377491235733, epochs needed: 200
evaluating individudal 9 - e940316a2eb06acb. Mean loss in evaluation epoch: 0.04858556389808655, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: ecedd90203150e8e, num_times_seen_before: 0
ACC: 0.5947368421052632
TPR/FPR: 0.7777777777777778, 0.44805194805194803
Loss: 0.04402872547507286
Timestamp: 2610.624915501001
---------------------------------------------------------------
evaluating individudal 0 - 282afe21f5861cc7. Mean loss in evaluation epoch: 0.045509662479162216, epochs needed: 200
evaluating individudal 1 - 583c380e27d83911. Mean loss in evaluation epoch: 0.04318494349718094, epochs needed: 200
evaluating individudal 2 - 6646e42175c76a0b. Mean loss in evaluation epoch: 0.043611422181129456, epochs needed: 200
evaluating individudal 3 - 7a9b998a4a32499f. Mean loss in evaluation epoch: 0.04976646229624748, epochs needed: 200
evaluating individudal 4 - 0c5c31c75a2e7f91. Mean loss in evaluation epoch: 0.04238312318921089, epochs needed: 200
evaluating individudal 5 - b2366368db509d4c. Mean loss in evaluation epoch: 0.04195543751120567, epochs needed: 200
evaluating individudal 6 - 674458545e717383. Mean loss in evaluation epoch: 0.04341600090265274, epochs needed: 200
evaluating individudal 7 - 76d060afb7762922. Mean loss in evaluation epoch: 0.043692197650671005, epochs needed: 200
evaluating individudal 8 - aab1466c91309af0. Mean loss in evaluation epoch: 0.06087709590792656, epochs needed: 200
evaluating individudal 9 - 2ff84e1f2664d744. Mean loss in evaluation epoch: 0.045705001801252365, epochs needed: 200
evaluating individudal 10 - 902be33c50659534. Mean loss in evaluation epoch: 0.044651418924331665, epochs needed: 200
evaluating individudal 11 - af1a1401608ecc5a. Mean loss in evaluation epoch: 0.05101310834288597, epochs needed: 200
evaluating individudal 12 - 7cc6eab1e5e634b9. Mean loss in evaluation epoch: 0.0422612801194191, epochs needed: 200
evaluating individudal 13 - 830d9a76d2571a03. Mean loss in evaluation epoch: 0.04072466120123863, epochs needed: 200
evaluating individudal 14 - cb80eef58a7c5e11. Mean loss in evaluation epoch: 0.04063478857278824, epochs needed: 200
evaluating individudal 15 - 262a84169b593107. Mean loss in evaluation epoch: 0.041771214455366135, epochs needed: 200
evaluating individudal 16 - 6024cd5fbfab9530. Mean loss in evaluation epoch: 0.048010844737291336, epochs needed: 200
evaluating individudal 17 - df9b4e0a8479e00a. Mean loss in evaluation epoch: 0.049779925495386124, epochs needed: 200
evaluating individudal 18 - d19db16eb1095a1a. Mean loss in evaluation epoch: 0.04187789559364319, epochs needed: 200
evaluating individudal 19 - e12fd89391710d71. Mean loss in evaluation epoch: 0.04725838825106621, epochs needed: 200
evaluating individudal 20 - aa5b2f5e1e4ee380. Mean loss in evaluation epoch: 0.04510866105556488, epochs needed: 200
evaluating individudal 21 - 23e7fbb80d4db5a0. Mean loss in evaluation epoch: 0.05059134587645531, epochs needed: 200
evaluating individudal 22 - d476bb91799b088d. Mean loss in evaluation epoch: 0.0481942780315876, epochs needed: 200
evaluating individudal 23 - 59a32c97edcf3d15. Mean loss in evaluation epoch: 0.05220150575041771, epochs needed: 200
evaluating individudal 24 - 996822bcf9478056. Mean loss in evaluation epoch: 0.04885004088282585, epochs needed: 200
evaluating individudal 25 - 2c81b77bc9e1524a. Mean loss in evaluation epoch: 0.041484978049993515, epochs needed: 200
evaluating individudal 26 - f9c64b2c6b511088. Mean loss in evaluation epoch: 0.041836123913526535, epochs needed: 200
evaluating individudal 27 - 0a340de8af160ceb. Mean loss in evaluation epoch: 0.04671892896294594, epochs needed: 200
evaluating individudal 28 - 18687616bf4b691b. Mean loss in evaluation epoch: 0.046140532940626144, epochs needed: 200
evaluating individudal 29 - c1a87feb9088caad. Mean loss in evaluation epoch: 0.046770092099905014, epochs needed: 200
evaluating individudal 30 - 8d1e7c3d5681ec23. Mean loss in evaluation epoch: 0.04419475793838501, epochs needed: 200
evaluating individudal 31 - d4ef43db77fa237d. Mean loss in evaluation epoch: 0.04700212553143501, epochs needed: 200
evaluating individudal 32 - 51de20942902385f. Mean loss in evaluation epoch: 0.04407954961061478, epochs needed: 200
evaluating individudal 33 - aef2ec0d000ab405. Mean loss in evaluation epoch: 0.04587072134017944, epochs needed: 200
evaluating individudal 34 - 2b544bb692d121f9. Mean loss in evaluation epoch: 0.039838653057813644, epochs needed: 200
evaluating individudal 35 - 0bf14586531f51f4. Mean loss in evaluation epoch: 0.041185617446899414, epochs needed: 200
evaluating individudal 36 - f5ae3f61a9192c8b. Mean loss in evaluation epoch: 0.04598034545779228, epochs needed: 200
evaluating individudal 37 - ed63acca43dc7e16. Mean loss in evaluation epoch: 0.05077971890568733, epochs needed: 200
evaluating individudal 38 - 3d9a4f4707818ab5. Mean loss in evaluation epoch: 0.04324034973978996, epochs needed: 200
evaluating individudal 39 - 4717c652bfd9eb87. Mean loss in evaluation epoch: 0.04443830996751785, epochs needed: 200
evaluating individudal 0 - ecedd90203150e8e. Mean loss in evaluation epoch: 0.04577651247382164, epochs needed: 200
evaluating individudal 1 - cb331c8c59a3c1ea. Mean loss in evaluation epoch: 0.042651090770959854, epochs needed: 200
evaluating individudal 2 - ec7504c0c13352f1. Mean loss in evaluation epoch: 0.047859590500593185, epochs needed: 200
evaluating individudal 3 - ee34148c1992093d. Mean loss in evaluation epoch: 0.04320776090025902, epochs needed: 200
evaluating individudal 4 - 14e0787f2a197d3f. Mean loss in evaluation epoch: 0.04670678451657295, epochs needed: 200
evaluating individudal 5 - 0598360c2dfd2f14. Mean loss in evaluation epoch: 0.045707233250141144, epochs needed: 200
evaluating individudal 6 - d4e539cef5104e79. Mean loss in evaluation epoch: 0.04691728949546814, epochs needed: 200
evaluating individudal 7 - c5076c0e4231e239. Mean loss in evaluation epoch: 0.04499626159667969, epochs needed: 200
evaluating individudal 8 - cf6804e7ba846f87. Mean loss in evaluation epoch: 0.04756370186805725, epochs needed: 200
evaluating individudal 9 - 27842f4c8177a88a. Mean loss in evaluation epoch: 0.05133435130119324, epochs needed: 200
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 2b544bb692d121f9, num_times_seen_before: 0
ACC: 0.6789473684210526
TPR/FPR: 0.9444444444444444, 0.38311688311688313
Loss: 0.039838653057813644
Timestamp: 5232.9055645970075
---------------------------------------------------------------
evaluating individudal 0 - 4e6f50f5f33418b9. Mean loss in evaluation epoch: 0.03671852499246597, epochs needed: 200
evaluating individudal 1 - f953fdf5dff847cf. Mean loss in evaluation epoch: 0.04368823766708374, epochs needed: 200
evaluating individudal 2 - 719d1e24fdcb6904. Mean loss in evaluation epoch: 0.043195679783821106, epochs needed: 200
evaluating individudal 3 - c9ca255462b2eec4. Mean loss in evaluation epoch: 0.04511342570185661, epochs needed: 200
evaluating individudal 4 - f78b6b4a7afd806f. Mean loss in evaluation epoch: 0.043463654816150665, epochs needed: 200
evaluating individudal 5 - 32ea7fd093a303e4. Mean loss in evaluation epoch: 0.0363500714302063, epochs needed: 200
evaluating individudal 6 - c0db472645092111. Mean loss in evaluation epoch: 0.0375870019197464, epochs needed: 200
evaluating individudal 7 - adc066a67281eef6. Mean loss in evaluation epoch: 0.039256781339645386, epochs needed: 200
evaluating individudal 8 - f06e87a7476b6b0c. Mean loss in evaluation epoch: 0.044726233929395676, epochs needed: 200
evaluating individudal 9 - 87fb70cdd6304c4c. Mean loss in evaluation epoch: 0.0400354340672493, epochs needed: 200
evaluating individudal 10 - e9339ea5ba2154a1. Mean loss in evaluation epoch: 0.03495301306247711, epochs needed: 200
evaluating individudal 11 - 49763e2dc62b308c. Mean loss in evaluation epoch: 0.03638364374637604, epochs needed: 200
evaluating individudal 12 - a90adb8b0856515f. Mean loss in evaluation epoch: 0.04262017831206322, epochs needed: 200
evaluating individudal 13 - 6490b461fb5025f8. Mean loss in evaluation epoch: 0.03863779827952385, epochs needed: 200
evaluating individudal 14 - 3fa31c2f07b30bf0. Mean loss in evaluation epoch: 0.037404872477054596, epochs needed: 200
evaluating individudal 15 - 788da4b58c673b5a. Mean loss in evaluation epoch: 0.03791642561554909, epochs needed: 200
evaluating individudal 16 - 1d5c45b8fc0f0310. Mean loss in evaluation epoch: 0.03787307068705559, epochs needed: 200
evaluating individudal 17 - 7613ac8b6523d349. Mean loss in evaluation epoch: 0.036068595945835114, epochs needed: 200
evaluating individudal 18 - b84cb047fe83e365. Mean loss in evaluation epoch: 0.03618776798248291, epochs needed: 200
evaluating individudal 19 - 19cd1892ce47ce95. Mean loss in evaluation epoch: 0.04556811973452568, epochs needed: 200
evaluating individudal 20 - 10096e6b59de7ed1. Mean loss in evaluation epoch: 0.04296807199716568, epochs needed: 200
evaluating individudal 21 - df532e0dbee2632f. Mean loss in evaluation epoch: 0.04034694656729698, epochs needed: 200
evaluating individudal 22 - 9cca4c071bebfe60. Mean loss in evaluation epoch: 0.04075336456298828, epochs needed: 200
evaluating individudal 23 - a1db970533ce7d39. Mean loss in evaluation epoch: 0.03856049105525017, epochs needed: 200
evaluating individudal 24 - 1e45100224e37fd7. Mean loss in evaluation epoch: 0.035781700164079666, epochs needed: 200
evaluating individudal 25 - e15e11bfc5cbc381. Mean loss in evaluation epoch: 0.040033843368291855, epochs needed: 200
evaluating individudal 26 - 6485df550fb8f286. Mean loss in evaluation epoch: 0.03695939853787422, epochs needed: 200
evaluating individudal 27 - 4c56a6266415c5ca. Mean loss in evaluation epoch: 0.03700633719563484, epochs needed: 200
evaluating individudal 28 - 37678e5b0c5dbb90. Mean loss in evaluation epoch: 0.03643568977713585, epochs needed: 200
evaluating individudal 29 - dd870898473b05ea. Mean loss in evaluation epoch: 0.03865601122379303, epochs needed: 200
evaluating individudal 30 - 48bb1290e50098c6. Mean loss in evaluation epoch: 0.03772469609975815, epochs needed: 200
evaluating individudal 31 - 8803004c57dbfec1. Mean loss in evaluation epoch: 0.03866846114397049, epochs needed: 200
evaluating individudal 32 - 089ddace637e8424. Mean loss in evaluation epoch: 0.03848478943109512, epochs needed: 200
evaluating individudal 33 - 89e8cba9270ee1f9. Mean loss in evaluation epoch: 0.038392484188079834, epochs needed: 200
evaluating individudal 34 - 02b22a314db36480. Mean loss in evaluation epoch: 0.03902183100581169, epochs needed: 200
evaluating individudal 35 - 160b34e52e5b3d8c. Mean loss in evaluation epoch: 0.0357382707297802, epochs needed: 200
evaluating individudal 36 - d024c86a4d139dad. Mean loss in evaluation epoch: 0.0379742830991745, epochs needed: 200
evaluating individudal 37 - 6f80c8108c44377e. Mean loss in evaluation epoch: 0.04111754521727562, epochs needed: 200
evaluating individudal 38 - 99b305132e467d2a. Mean loss in evaluation epoch: 0.0375346802175045, epochs needed: 200
evaluating individudal 39 - 729ac9abbffd47f1. Mean loss in evaluation epoch: 0.03817836195230484, epochs needed: 200
evaluating individudal 0 - 2b544bb692d121f9. Mean loss in evaluation epoch: 0.04016265273094177, epochs needed: 200
evaluating individudal 1 - cb80eef58a7c5e11. Mean loss in evaluation epoch: 0.039798952639102936, epochs needed: 200
evaluating individudal 2 - 830d9a76d2571a03. Mean loss in evaluation epoch: 0.04434484243392944, epochs needed: 200
evaluating individudal 3 - 0bf14586531f51f4. Mean loss in evaluation epoch: 0.04058970510959625, epochs needed: 200
evaluating individudal 4 - 2c81b77bc9e1524a. Mean loss in evaluation epoch: 0.0442533902823925, epochs needed: 200
evaluating individudal 5 - 262a84169b593107. Mean loss in evaluation epoch: 0.0484507791697979, epochs needed: 200
evaluating individudal 6 - f9c64b2c6b511088. Mean loss in evaluation epoch: 0.0445844791829586, epochs needed: 200
evaluating individudal 7 - d19db16eb1095a1a. Mean loss in evaluation epoch: 0.04310290887951851, epochs needed: 200
evaluating individudal 8 - b2366368db509d4c. Mean loss in evaluation epoch: 0.04113633558154106, epochs needed: 200
evaluating individudal 9 - 7cc6eab1e5e634b9. Mean loss in evaluation epoch: 0.04194995015859604, epochs needed: 200
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: e9339ea5ba2154a1, num_times_seen_before: 0
ACC: 0.7842105263157895
TPR/FPR: 1.0, 0.2662337662337662
Loss: 0.03495301306247711
Timestamp: 7842.402627137009
---------------------------------------------------------------
evaluating individudal 0 - ee9b94e02d9971a9. Mean loss in evaluation epoch: 0.033905401825904846, epochs needed: 200
evaluating individudal 1 - 3120a51396c91cc9. Mean loss in evaluation epoch: 0.03718100115656853, epochs needed: 200
evaluating individudal 2 - 3942f77a4b827bec. Mean loss in evaluation epoch: 0.03313559293746948, epochs needed: 200
evaluating individudal 3 - 05fd97fb5e35d83b. Mean loss in evaluation epoch: 0.03395409509539604, epochs needed: 200
evaluating individudal 4 - 80c980f26a62faef. Mean loss in evaluation epoch: 0.029360046610236168, epochs needed: 200
evaluating individudal 5 - ba35138134e9e23b. Mean loss in evaluation epoch: 0.03163592517375946, epochs needed: 200
evaluating individudal 6 - 8711bb9bb235760c. Mean loss in evaluation epoch: 0.03481244668364525, epochs needed: 200
evaluating individudal 7 - 6894e0c1c55c38bb. Mean loss in evaluation epoch: 0.030660996213555336, epochs needed: 200
evaluating individudal 8 - dfdc6064c3777b7c. Mean loss in evaluation epoch: 0.03190326318144798, epochs needed: 200
evaluating individudal 9 - 544b7bc41127c5b4. Mean loss in evaluation epoch: 0.03081081248819828, epochs needed: 200
evaluating individudal 10 - a089d746bd69822c. Mean loss in evaluation epoch: 0.03350585326552391, epochs needed: 200
evaluating individudal 11 - 8c977d81abcf2717. Mean loss in evaluation epoch: 0.03344544395804405, epochs needed: 200
evaluating individudal 12 - a89407bdb0b92c50. Mean loss in evaluation epoch: 0.037028968334198, epochs needed: 200
evaluating individudal 13 - 4f70451df1237c47. Mean loss in evaluation epoch: 0.0342310331761837, epochs needed: 200
evaluating individudal 14 - e07bd5dd98aa6bcd. Mean loss in evaluation epoch: 0.03543180599808693, epochs needed: 200
evaluating individudal 15 - 45d26bba3052006d. Mean loss in evaluation epoch: 0.033909596502780914, epochs needed: 200
evaluating individudal 16 - 512c3a49b6e1b763. Mean loss in evaluation epoch: 0.03303220495581627, epochs needed: 200
evaluating individudal 17 - d5f50aa46a535245. Mean loss in evaluation epoch: 0.032970551401376724, epochs needed: 200
evaluating individudal 18 - 6d40fcf7d203d2e5. Mean loss in evaluation epoch: 0.03524795174598694, epochs needed: 200
evaluating individudal 19 - 1dad8a901b94760e. Mean loss in evaluation epoch: 0.03632476553320885, epochs needed: 200
evaluating individudal 20 - 8ca118d633e5f28c. Mean loss in evaluation epoch: 0.03340841457247734, epochs needed: 200
evaluating individudal 21 - 55be50dce1aeaa9c. Mean loss in evaluation epoch: 0.03251984715461731, epochs needed: 200
evaluating individudal 22 - 9fc5ba87286655e8. Mean loss in evaluation epoch: 0.035996388643980026, epochs needed: 200
evaluating individudal 23 - 31fde47dd25e8b03. Mean loss in evaluation epoch: 0.03052384965121746, epochs needed: 200
evaluating individudal 24 - db4515c736a56383. Mean loss in evaluation epoch: 0.0350903756916523, epochs needed: 200
evaluating individudal 25 - ae9acde55d531012. Mean loss in evaluation epoch: 0.040524136275053024, epochs needed: 200
evaluating individudal 26 - 8642ff33721b33e7. Mean loss in evaluation epoch: 0.03246869146823883, epochs needed: 200
evaluating individudal 27 - 1df665bb2be8cb2e. Mean loss in evaluation epoch: 0.03218291699886322, epochs needed: 200
evaluating individudal 28 - 6fa403bd546d34c3. Mean loss in evaluation epoch: 0.03417447954416275, epochs needed: 200
evaluating individudal 29 - 00af563d1c413db8. Mean loss in evaluation epoch: 0.03607572987675667, epochs needed: 200
evaluating individudal 30 - 98cae15cb67bf407. Mean loss in evaluation epoch: 0.03173675388097763, epochs needed: 200
evaluating individudal 31 - 1c57fba1cb0d4aa8. Mean loss in evaluation epoch: 0.03045802190899849, epochs needed: 200
evaluating individudal 32 - 7d2a56f393be7cb2. Mean loss in evaluation epoch: 0.03214621916413307, epochs needed: 200
evaluating individudal 33 - 2e255ff4a4ca8211. Mean loss in evaluation epoch: 0.03719884157180786, epochs needed: 200
evaluating individudal 34 - c3a823eb8cb9885f. Mean loss in evaluation epoch: 0.033653147518634796, epochs needed: 200
evaluating individudal 35 - 7d9eca66b442f55e. Mean loss in evaluation epoch: 0.03439505025744438, epochs needed: 200
evaluating individudal 36 - 38c9810018c9ddf8. Mean loss in evaluation epoch: 0.0343046672642231, epochs needed: 200
evaluating individudal 37 - 76803c47b84d827e. Mean loss in evaluation epoch: 0.03422721475362778, epochs needed: 200
evaluating individudal 38 - 1c3debc69c65c6a4. Mean loss in evaluation epoch: 0.03256657347083092, epochs needed: 200
evaluating individudal 39 - 9dddd50e46824595. Mean loss in evaluation epoch: 0.029911065474152565, epochs needed: 200
evaluating individudal 0 - e9339ea5ba2154a1. Mean loss in evaluation epoch: 0.040559303015470505, epochs needed: 200
evaluating individudal 1 - 160b34e52e5b3d8c. Mean loss in evaluation epoch: 0.03576259687542915, epochs needed: 200
evaluating individudal 2 - 1e45100224e37fd7. Mean loss in evaluation epoch: 0.041319455951452255, epochs needed: 200
evaluating individudal 3 - 7613ac8b6523d349. Mean loss in evaluation epoch: 0.035678353160619736, epochs needed: 200
evaluating individudal 4 - b84cb047fe83e365. Mean loss in evaluation epoch: 0.038389306515455246, epochs needed: 200
evaluating individudal 5 - 32ea7fd093a303e4. Mean loss in evaluation epoch: 0.042165663093328476, epochs needed: 200
evaluating individudal 6 - 49763e2dc62b308c. Mean loss in evaluation epoch: 0.03658031299710274, epochs needed: 200
evaluating individudal 7 - 37678e5b0c5dbb90. Mean loss in evaluation epoch: 0.03587427735328674, epochs needed: 200
evaluating individudal 8 - 4e6f50f5f33418b9. Mean loss in evaluation epoch: 0.037197232246398926, epochs needed: 200
evaluating individudal 9 - 6485df550fb8f286. Mean loss in evaluation epoch: 0.04284679517149925, epochs needed: 200
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 80c980f26a62faef, num_times_seen_before: 0
ACC: 0.8368421052631578
TPR/FPR: 1.0, 0.2012987012987013
Loss: 0.029360046610236168
Timestamp: 10450.663243289004
---------------------------------------------------------------
evaluating individudal 0 - 7cd9705c4d2f8f6f. Mean loss in evaluation epoch: 0.03266267105937004, epochs needed: 200
evaluating individudal 1 - b4a6c69a982458b4. Mean loss in evaluation epoch: 0.02680707536637783, epochs needed: 200
evaluating individudal 2 - fa87870c9c5a1cb3. Mean loss in evaluation epoch: 0.031073976308107376, epochs needed: 200
evaluating individudal 3 - a76874f8c618710f. Mean loss in evaluation epoch: 0.029658159241080284, epochs needed: 200
evaluating individudal 4 - 5733f3dd63ab0720. Mean loss in evaluation epoch: 0.03162764757871628, epochs needed: 200
evaluating individudal 5 - c4bae9e145b2e609. Mean loss in evaluation epoch: 0.029155349358916283, epochs needed: 200
evaluating individudal 6 - 016f376f9a99cbb0. Mean loss in evaluation epoch: 0.0270918607711792, epochs needed: 200
evaluating individudal 7 - 799b3fdacb712a94. Mean loss in evaluation epoch: 0.031717151403427124, epochs needed: 200
