../data/final/netrd/SIS/timeseries_bull_50_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 50
NUM_DYN_EPOCHS: 2000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 50
NUM_TRAIN_SAMPLES: 39
NUM_TRAIN_BATCHES: 1
NUM_TEST_SAMPLES: 10
NUM_TEST_BATCHES: 1
BATCH_SIZE: 50
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 2000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.5034692287445068, epochs needed: 2000
evaluating: matrix 32, run 0. Mean loss in evaluation epoch: 0.5848093032836914, epochs needed: 2000
evaluating: matrix 33, run 0. Mean loss in evaluation epoch: 0.543911874294281, epochs needed: 2000
evaluating: matrix 34, run 0. Mean loss in evaluation epoch: 0.6754196286201477, epochs needed: 2000
evaluating: matrix 35, run 0. Mean loss in evaluation epoch: 0.6336569786071777, epochs needed: 2000
evaluating: matrix 36, run 0. Mean loss in evaluation epoch: 0.8836789131164551, epochs needed: 2000
evaluating: matrix 37, run 0. Mean loss in evaluation epoch: 0.8102994561195374, epochs needed: 2000
evaluating: matrix 38, run 0. Mean loss in evaluation epoch: 1.5085605382919312, epochs needed: 2000
evaluating: matrix 39, run 0. Mean loss in evaluation epoch: 1.8028796911239624, epochs needed: 2000
evaluating: matrix 40, run 0. Mean loss in evaluation epoch: 0.679212212562561, epochs needed: 2000
evaluating: matrix 41, run 0. Mean loss in evaluation epoch: 0.7228790521621704, epochs needed: 2000
evaluating: matrix 42, run 0. Mean loss in evaluation epoch: 0.4956841766834259, epochs needed: 2000
evaluating: matrix 43, run 0. Mean loss in evaluation epoch: 0.6429851055145264, epochs needed: 2000
evaluating: matrix 44, run 0. Mean loss in evaluation epoch: 0.48981544375419617, epochs needed: 2000
evaluating: matrix 45, run 0. Mean loss in evaluation epoch: 0.7074045538902283, epochs needed: 2000
evaluating: matrix 46, run 0. Mean loss in evaluation epoch: 2.3332407474517822, epochs needed: 2000
evaluating: matrix 47, run 0. Mean loss in evaluation epoch: 0.6205480098724365, epochs needed: 2000
evaluating: matrix 48, run 0. Mean loss in evaluation epoch: 0.8784846663475037, epochs needed: 2000
evaluating: matrix 49, run 0. Mean loss in evaluation epoch: 1.1091480255126953, epochs needed: 2000
evaluating: matrix 50, run 0. Mean loss in evaluation epoch: 1.925034999847412, epochs needed: 2000
evaluating: matrix 51, run 0. Mean loss in evaluation epoch: 2.2821743488311768, epochs needed: 2000
evaluating: matrix 52, run 0. Mean loss in evaluation epoch: 0.698851466178894, epochs needed: 2000
evaluating: matrix 53, run 0. Mean loss in evaluation epoch: 1.3443282842636108, epochs needed: 2000
evaluating: matrix 54, run 0. Mean loss in evaluation epoch: 1.8227232694625854, epochs needed: 2000
evaluating: matrix 55, run 0. Mean loss in evaluation epoch: 5.347033500671387, epochs needed: 2000
evaluating: matrix 56, run 0. Mean loss in evaluation epoch: 0.4740644693374634, epochs needed: 2000
evaluating: matrix 57, run 0. Mean loss in evaluation epoch: 2.7075045108795166, epochs needed: 2000
evaluating: matrix 58, run 0. Mean loss in evaluation epoch: 0.8934910297393799, epochs needed: 2000
evaluating: matrix 59, run 0. Mean loss in evaluation epoch: 1.143690824508667, epochs needed: 2000
evaluating: matrix 60, run 0. Mean loss in evaluation epoch: 0.5975837111473083, epochs needed: 2000
evaluating: matrix 61, run 0. Mean loss in evaluation epoch: 0.7295562624931335, epochs needed: 2000
evaluating: matrix 62, run 0. Mean loss in evaluation epoch: 0.7114852070808411, epochs needed: 2000
evaluating: matrix 63, run 0. Mean loss in evaluation epoch: 0.7052514553070068, epochs needed: 2000
evaluating: matrix 64, run 0. Mean loss in evaluation epoch: 0.5379806756973267, epochs needed: 2000
evaluating: matrix 65, run 0. Mean loss in evaluation epoch: 0.5200698375701904, epochs needed: 2000
evaluating: matrix 66, run 0. Mean loss in evaluation epoch: 0.5589516162872314, epochs needed: 2000
evaluating: matrix 67, run 0. Mean loss in evaluation epoch: 0.52311110496521, epochs needed: 2000
evaluating: matrix 68, run 0. Mean loss in evaluation epoch: 0.5006007552146912, epochs needed: 2000
evaluating: matrix 69, run 0. Mean loss in evaluation epoch: 0.516085147857666, epochs needed: 2000
evaluating: matrix 70, run 0. Mean loss in evaluation epoch: 0.5209857821464539, epochs needed: 2000
evaluating: matrix 71, run 0. Mean loss in evaluation epoch: 0.5495789051055908, epochs needed: 2000
evaluating: matrix 72, run 0. Mean loss in evaluation epoch: 0.7169191837310791, epochs needed: 2000
evaluating: matrix 73, run 0. Mean loss in evaluation epoch: 0.5605515837669373, epochs needed: 2000
evaluating: matrix 74, run 0. Mean loss in evaluation epoch: 0.7364566922187805, epochs needed: 2000
evaluating: matrix 75, run 0. Mean loss in evaluation epoch: 0.523869514465332, epochs needed: 2000
evaluating: matrix 76, run 0. Mean loss in evaluation epoch: 0.6957857012748718, epochs needed: 2000
evaluating: matrix 77, run 0. Mean loss in evaluation epoch: 0.5841434597969055, epochs needed: 2000
evaluating: matrix 78, run 0. Mean loss in evaluation epoch: 0.7426082491874695, epochs needed: 2000
evaluating: matrix 79, run 0. Mean loss in evaluation epoch: 0.5537627339363098, epochs needed: 2000
evaluating: matrix 80, run 0. Mean loss in evaluation epoch: 0.5103912949562073, epochs needed: 2000
evaluating: matrix 81, run 0. Mean loss in evaluation epoch: 0.6629049181938171, epochs needed: 2000
evaluating: matrix 82, run 0. Mean loss in evaluation epoch: 0.514896810054779, epochs needed: 2000
evaluating: matrix 83, run 0. Mean loss in evaluation epoch: 0.5863397717475891, epochs needed: 2000
evaluating: matrix 84, run 0. Mean loss in evaluation epoch: 0.6365875005722046, epochs needed: 2000
evaluating: matrix 85, run 0. Mean loss in evaluation epoch: 0.6066514849662781, epochs needed: 2000
evaluating: matrix 86, run 0. Mean loss in evaluation epoch: 0.4983707070350647, epochs needed: 2000
evaluating: matrix 87, run 0. Mean loss in evaluation epoch: 0.6100002527236938, epochs needed: 2000
evaluating: matrix 88, run 0. Mean loss in evaluation epoch: 0.5342102646827698, epochs needed: 2000
evaluating: matrix 89, run 0. Mean loss in evaluation epoch: 0.8376031517982483, epochs needed: 2000
evaluating: matrix 90, run 0. Mean loss in evaluation epoch: 0.7956086993217468, epochs needed: 2000
evaluating: matrix 91, run 0. Mean loss in evaluation epoch: 0.7566463351249695, epochs needed: 2000
evaluating: matrix 92, run 0. Mean loss in evaluation epoch: 0.5303863286972046, epochs needed: 2000
evaluating: matrix 93, run 0. Mean loss in evaluation epoch: 0.5955185890197754, epochs needed: 2000
evaluating: matrix 94, run 0. Mean loss in evaluation epoch: 0.6485379934310913, epochs needed: 2000
evaluating: matrix 95, run 0. Mean loss in evaluation epoch: 0.626410961151123, epochs needed: 2000
evaluating: matrix 96, run 0. Mean loss in evaluation epoch: 0.4974156618118286, epochs needed: 2000
evaluating: matrix 97, run 0. Mean loss in evaluation epoch: 0.521613359451294, epochs needed: 2000
evaluating: matrix 98, run 0. Mean loss in evaluation epoch: 0.6204597353935242, epochs needed: 2000
evaluating: matrix 99, run 0. Mean loss in evaluation epoch: 0.6205562353134155, epochs needed: 2000
evaluating: matrix 100, run 0. Mean loss in evaluation epoch: 0.6592227220535278, epochs needed: 2000
evaluating: matrix 101, run 0. Mean loss in evaluation epoch: 0.6326708793640137, epochs needed: 2000
evaluating: matrix 102, run 0. Mean loss in evaluation epoch: 1.6300052404403687, epochs needed: 2000
evaluating: matrix 103, run 0. Mean loss in evaluation epoch: 0.7787348031997681, epochs needed: 2000
evaluating: matrix 104, run 0. Mean loss in evaluation epoch: 0.689930260181427, epochs needed: 2000
evaluating: matrix 105, run 0. Mean loss in evaluation epoch: 0.665550708770752, epochs needed: 2000
evaluating: matrix 106, run 0. Mean loss in evaluation epoch: 0.6611859202384949, epochs needed: 2000
evaluating: matrix 107, run 0. Mean loss in evaluation epoch: 0.5002717971801758, epochs needed: 2000
evaluating: matrix 108, run 0. Mean loss in evaluation epoch: 0.5055223703384399, epochs needed: 2000
evaluating: matrix 109, run 0. Mean loss in evaluation epoch: 0.5596039891242981, epochs needed: 2000
evaluating: matrix 110, run 0. Mean loss in evaluation epoch: 0.7391752600669861, epochs needed: 2000
evaluating: matrix 111, run 0. Mean loss in evaluation epoch: 1.3261804580688477, epochs needed: 2000
evaluating: matrix 112, run 0. Mean loss in evaluation epoch: 0.4944825768470764, epochs needed: 2000
evaluating: matrix 113, run 0. Mean loss in evaluation epoch: 0.5947492718696594, epochs needed: 2000
evaluating: matrix 114, run 0. Mean loss in evaluation epoch: 1.4786932468414307, epochs needed: 2000
evaluating: matrix 115, run 0. Mean loss in evaluation epoch: 1.6414695978164673, epochs needed: 2000
evaluating: matrix 116, run 0. Mean loss in evaluation epoch: 0.867418110370636, epochs needed: 2000
evaluating: matrix 117, run 0. Mean loss in evaluation epoch: 0.6716766953468323, epochs needed: 2000
evaluating: matrix 118, run 0. Mean loss in evaluation epoch: 3.187561273574829, epochs needed: 2000
evaluating: matrix 119, run 0. Mean loss in evaluation epoch: 0.6364780068397522, epochs needed: 2000
evaluating: matrix 120, run 0. Mean loss in evaluation epoch: 0.6250942349433899, epochs needed: 2000
evaluating: matrix 121, run 0. Mean loss in evaluation epoch: 0.5943471193313599, epochs needed: 2000
evaluating: matrix 122, run 0. Mean loss in evaluation epoch: 0.6394028663635254, epochs needed: 2000
evaluating: matrix 123, run 0. Mean loss in evaluation epoch: 0.8662954568862915, epochs needed: 2000
evaluating: matrix 124, run 0. Mean loss in evaluation epoch: 0.4879312515258789, epochs needed: 2000
evaluating: matrix 125, run 0. Mean loss in evaluation epoch: 0.596566379070282, epochs needed: 2000
evaluating: matrix 126, run 0. Mean loss in evaluation epoch: 0.7638440728187561, epochs needed: 2000
evaluating: matrix 127, run 0. Mean loss in evaluation epoch: 0.8307260870933533, epochs needed: 2000
evaluating: matrix 128, run 0. Mean loss in evaluation epoch: 0.5044771432876587, epochs needed: 2000
evaluating: matrix 129, run 0. Mean loss in evaluation epoch: 0.6903038024902344, epochs needed: 2000
evaluating: matrix 130, run 0. Mean loss in evaluation epoch: 0.5132600665092468, epochs needed: 2000
evaluating: matrix 131, run 0. Mean loss in evaluation epoch: 0.6524783372879028, epochs needed: 2000
evaluating: matrix 132, run 0. Mean loss in evaluation epoch: 0.5084725022315979, epochs needed: 2000
evaluating: matrix 133, run 0. Mean loss in evaluation epoch: 0.6870607137680054, epochs needed: 2000
evaluating: matrix 134, run 0. Mean loss in evaluation epoch: 0.5439043045043945, epochs needed: 2000
evaluating: matrix 135, run 0. Mean loss in evaluation epoch: 0.6682814955711365, epochs needed: 2000
evaluating: matrix 136, run 0. Mean loss in evaluation epoch: 0.5061662197113037, epochs needed: 2000
evaluating: matrix 137, run 0. Mean loss in evaluation epoch: 0.514107346534729, epochs needed: 2000
evaluating: matrix 138, run 0. Mean loss in evaluation epoch: 0.531420111656189, epochs needed: 2000
evaluating: matrix 139, run 0. Mean loss in evaluation epoch: 0.7532249689102173, epochs needed: 2000
evaluating: matrix 140, run 0. Mean loss in evaluation epoch: 0.4830739200115204, epochs needed: 2000
evaluating: matrix 141, run 0. Mean loss in evaluation epoch: 0.6355913281440735, epochs needed: 2000
evaluating: matrix 142, run 0. Mean loss in evaluation epoch: 0.4772736430168152, epochs needed: 2000
evaluating: matrix 143, run 0. Mean loss in evaluation epoch: 0.5097032785415649, epochs needed: 2000
evaluating: matrix 144, run 0. Mean loss in evaluation epoch: 0.5138493180274963, epochs needed: 2000
evaluating: matrix 145, run 0. Mean loss in evaluation epoch: 0.5348638296127319, epochs needed: 2000
evaluating: matrix 146, run 0. Mean loss in evaluation epoch: 0.4697391390800476, epochs needed: 2000
evaluating: matrix 147, run 0. Mean loss in evaluation epoch: 0.48344552516937256, epochs needed: 2000
evaluating: matrix 148, run 0. Mean loss in evaluation epoch: 0.5318253040313721, epochs needed: 2000
evaluating: matrix 149, run 0. Mean loss in evaluation epoch: 0.5066098570823669, epochs needed: 2000
evaluating: matrix 150, run 0. Mean loss in evaluation epoch: 0.4670454263687134, epochs needed: 2000
evaluating: matrix 151, run 0. Mean loss in evaluation epoch: 0.5674780607223511, epochs needed: 2000
evaluating: matrix 152, run 0. Mean loss in evaluation epoch: 0.6459459662437439, epochs needed: 2000
evaluating: matrix 153, run 0. Mean loss in evaluation epoch: 0.6510230898857117, epochs needed: 2000
evaluating: matrix 154, run 0. Mean loss in evaluation epoch: 0.5419576168060303, epochs needed: 2000
evaluating: matrix 155, run 0. Mean loss in evaluation epoch: 0.5946304798126221, epochs needed: 2000
evaluating: matrix 156, run 0. Mean loss in evaluation epoch: 0.677564799785614, epochs needed: 2000
evaluating: matrix 157, run 0. Mean loss in evaluation epoch: 0.6839900016784668, epochs needed: 2000
evaluating: matrix 158, run 0. Mean loss in evaluation epoch: 0.46285325288772583, epochs needed: 2000
evaluating: matrix 159, run 0. Mean loss in evaluation epoch: 0.5721251368522644, epochs needed: 2000
evaluating: matrix 160, run 0. Mean loss in evaluation epoch: 0.5496512055397034, epochs needed: 2000
evaluating: matrix 161, run 0. Mean loss in evaluation epoch: 0.693296492099762, epochs needed: 2000
evaluating: matrix 162, run 0. Mean loss in evaluation epoch: 0.634626567363739, epochs needed: 2000
evaluating: matrix 163, run 0. Mean loss in evaluation epoch: 0.5124545097351074, epochs needed: 2000
evaluating: matrix 164, run 0. Mean loss in evaluation epoch: 0.9348820447921753, epochs needed: 2000
evaluating: matrix 165, run 0. Mean loss in evaluation epoch: 0.907681405544281, epochs needed: 2000
evaluating: matrix 166, run 0. Mean loss in evaluation epoch: 2.5682241916656494, epochs needed: 2000
evaluating: matrix 167, run 0. Mean loss in evaluation epoch: 0.7879000306129456, epochs needed: 2000
evaluating: matrix 168, run 0. Mean loss in evaluation epoch: 0.6500548720359802, epochs needed: 2000
evaluating: matrix 169, run 0. Mean loss in evaluation epoch: 0.60869961977005, epochs needed: 2000
evaluating: matrix 170, run 0. Mean loss in evaluation epoch: 0.49638357758522034, epochs needed: 2000
evaluating: matrix 171, run 0. Mean loss in evaluation epoch: 0.5936338305473328, epochs needed: 2000
evaluating: matrix 172, run 0. Mean loss in evaluation epoch: 0.4600398540496826, epochs needed: 2000
evaluating: matrix 173, run 0. Mean loss in evaluation epoch: 0.7497768998146057, epochs needed: 2000
evaluating: matrix 174, run 0. Mean loss in evaluation epoch: 1.3798727989196777, epochs needed: 2000
evaluating: matrix 175, run 0. Mean loss in evaluation epoch: 0.8277695178985596, epochs needed: 2000
evaluating: matrix 176, run 0. Mean loss in evaluation epoch: 0.4988747835159302, epochs needed: 2000
evaluating: matrix 177, run 0. Mean loss in evaluation epoch: 0.5341219902038574, epochs needed: 2000
evaluating: matrix 178, run 0. Mean loss in evaluation epoch: 0.6183943152427673, epochs needed: 2000
evaluating: matrix 179, run 0. Mean loss in evaluation epoch: 1.7390413284301758, epochs needed: 2000
evaluating: matrix 180, run 0. Mean loss in evaluation epoch: 1.6155908107757568, epochs needed: 2000
evaluating: matrix 181, run 0. Mean loss in evaluation epoch: 0.630487322807312, epochs needed: 2000
evaluating: matrix 182, run 0. Mean loss in evaluation epoch: 0.7524779438972473, epochs needed: 2000
evaluating: matrix 183, run 0. Mean loss in evaluation epoch: 3.804616928100586, epochs needed: 2000
evaluating: matrix 184, run 0. Mean loss in evaluation epoch: 0.46444106101989746, epochs needed: 2000
evaluating: matrix 185, run 0. Mean loss in evaluation epoch: 0.47687971591949463, epochs needed: 2000
evaluating: matrix 186, run 0. Mean loss in evaluation epoch: 0.5719005465507507, epochs needed: 2000
evaluating: matrix 187, run 0. Mean loss in evaluation epoch: 0.6211214065551758, epochs needed: 2000
evaluating: matrix 188, run 0. Mean loss in evaluation epoch: 0.5194485783576965, epochs needed: 2000
evaluating: matrix 189, run 0. Mean loss in evaluation epoch: 0.6792128682136536, epochs needed: 2000
evaluating: matrix 190, run 0. Mean loss in evaluation epoch: 0.5293060541152954, epochs needed: 2000
evaluating: matrix 191, run 0. Mean loss in evaluation epoch: 0.7592272758483887, epochs needed: 2000
evaluating: matrix 192, run 0. Mean loss in evaluation epoch: 0.5071547627449036, epochs needed: 2000
evaluating: matrix 193, run 0. Mean loss in evaluation epoch: 0.5052132606506348, epochs needed: 2000
evaluating: matrix 194, run 0. Mean loss in evaluation epoch: 0.5312145948410034, epochs needed: 2000
evaluating: matrix 195, run 0. Mean loss in evaluation epoch: 0.568962812423706, epochs needed: 2000
evaluating: matrix 196, run 0. Mean loss in evaluation epoch: 0.5539383888244629, epochs needed: 2000
evaluating: matrix 197, run 0. Mean loss in evaluation epoch: 0.593498706817627, epochs needed: 2000
evaluating: matrix 198, run 0. Mean loss in evaluation epoch: 0.5718377232551575, epochs needed: 2000
evaluating: matrix 199, run 0. Mean loss in evaluation epoch: 0.49053001403808594, epochs needed: 2000
evaluating: matrix 200, run 0. Mean loss in evaluation epoch: 0.5752716660499573, epochs needed: 2000
evaluating: matrix 201, run 0. Mean loss in evaluation epoch: 0.5565875768661499, epochs needed: 2000
evaluating: matrix 202, run 0. Mean loss in evaluation epoch: 0.6826483011245728, epochs needed: 2000
evaluating: matrix 203, run 0. Mean loss in evaluation epoch: 0.5383802652359009, epochs needed: 2000
evaluating: matrix 204, run 0. Mean loss in evaluation epoch: 0.5843479633331299, epochs needed: 2000
evaluating: matrix 205, run 0. Mean loss in evaluation epoch: 0.6508376598358154, epochs needed: 2000
evaluating: matrix 206, run 0. Mean loss in evaluation epoch: 0.7939146161079407, epochs needed: 2000
evaluating: matrix 207, run 0. Mean loss in evaluation epoch: 0.6368047595024109, epochs needed: 2000
evaluating: matrix 208, run 0. Mean loss in evaluation epoch: 0.4904460906982422, epochs needed: 2000
evaluating: matrix 209, run 0. Mean loss in evaluation epoch: 0.49396783113479614, epochs needed: 2000
evaluating: matrix 210, run 0. Mean loss in evaluation epoch: 0.4894336462020874, epochs needed: 2000
evaluating: matrix 211, run 0. Mean loss in evaluation epoch: 0.4719425141811371, epochs needed: 2000
evaluating: matrix 212, run 0. Mean loss in evaluation epoch: 0.6714474558830261, epochs needed: 2000
evaluating: matrix 213, run 0. Mean loss in evaluation epoch: 0.43103930354118347, epochs needed: 2000
evaluating: matrix 214, run 0. Mean loss in evaluation epoch: 0.5186173915863037, epochs needed: 2000
evaluating: matrix 215, run 0. Mean loss in evaluation epoch: 0.47694623470306396, epochs needed: 2000
evaluating: matrix 216, run 0. Mean loss in evaluation epoch: 0.516246497631073, epochs needed: 2000
evaluating: matrix 217, run 0. Mean loss in evaluation epoch: 0.6864373087882996, epochs needed: 2000
evaluating: matrix 218, run 0. Mean loss in evaluation epoch: 0.8420450687408447, epochs needed: 2000
evaluating: matrix 219, run 0. Mean loss in evaluation epoch: 0.6758962273597717, epochs needed: 2000
evaluating: matrix 220, run 0. Mean loss in evaluation epoch: 0.6482295989990234, epochs needed: 2000
evaluating: matrix 221, run 0. Mean loss in evaluation epoch: 0.6290438175201416, epochs needed: 2000
evaluating: matrix 222, run 0. Mean loss in evaluation epoch: 0.5665551424026489, epochs needed: 2000
evaluating: matrix 223, run 0. Mean loss in evaluation epoch: 0.5511059165000916, epochs needed: 2000
evaluating: matrix 224, run 0. Mean loss in evaluation epoch: 0.45787513256073, epochs needed: 2000
evaluating: matrix 225, run 0. Mean loss in evaluation epoch: 0.5680172443389893, epochs needed: 2000
evaluating: matrix 226, run 0. Mean loss in evaluation epoch: 0.5966522097587585, epochs needed: 2000
evaluating: matrix 227, run 0. Mean loss in evaluation epoch: 0.4259312152862549, epochs needed: 2000
evaluating: matrix 228, run 0. Mean loss in evaluation epoch: 0.7474883198738098, epochs needed: 2000
evaluating: matrix 229, run 0. Mean loss in evaluation epoch: 0.788716197013855, epochs needed: 2000
evaluating: matrix 230, run 0. Mean loss in evaluation epoch: 1.6587198972702026, epochs needed: 2000
evaluating: matrix 231, run 0. Mean loss in evaluation epoch: 0.6289725303649902, epochs needed: 2000
evaluating: matrix 232, run 0. Mean loss in evaluation epoch: 0.539824366569519, epochs needed: 2000
evaluating: matrix 233, run 0. Mean loss in evaluation epoch: 1.458885908126831, epochs needed: 2000
evaluating: matrix 234, run 0. Mean loss in evaluation epoch: 0.64336097240448, epochs needed: 2000
evaluating: matrix 235, run 0. Mean loss in evaluation epoch: 0.4663471281528473, epochs needed: 2000
evaluating: matrix 236, run 0. Mean loss in evaluation epoch: 0.5414270162582397, epochs needed: 2000
evaluating: matrix 237, run 0. Mean loss in evaluation epoch: 0.6641398668289185, epochs needed: 2000
evaluating: matrix 238, run 0. Mean loss in evaluation epoch: 0.5988412499427795, epochs needed: 2000
evaluating: matrix 239, run 0. Mean loss in evaluation epoch: 0.5554048418998718, epochs needed: 2000
evaluating: matrix 240, run 0. Mean loss in evaluation epoch: 0.4744209051132202, epochs needed: 2000
evaluating: matrix 241, run 0. Mean loss in evaluation epoch: 1.3853405714035034, epochs needed: 2000
evaluating: matrix 242, run 0. Mean loss in evaluation epoch: 0.6554582715034485, epochs needed: 2000
evaluating: matrix 243, run 0. Mean loss in evaluation epoch: 0.7171210646629333, epochs needed: 2000
evaluating: matrix 244, run 0. Mean loss in evaluation epoch: 1.056333065032959, epochs needed: 2000
evaluating: matrix 245, run 0. Mean loss in evaluation epoch: 0.6659837365150452, epochs needed: 2000
evaluating: matrix 246, run 0. Mean loss in evaluation epoch: 0.8256151676177979, epochs needed: 2000
evaluating: matrix 247, run 0. Mean loss in evaluation epoch: 0.9769932627677917, epochs needed: 2000
evaluating: matrix 248, run 0. Mean loss in evaluation epoch: 1.210665225982666, epochs needed: 2000
evaluating: matrix 249, run 0. Mean loss in evaluation epoch: 1.6430052518844604, epochs needed: 2000
evaluating: matrix 250, run 0. Mean loss in evaluation epoch: 0.6464683413505554, epochs needed: 2000
evaluating: matrix 251, run 0. Mean loss in evaluation epoch: 0.5985370874404907, epochs needed: 2000
evaluating: matrix 252, run 0. Mean loss in evaluation epoch: 0.5294907093048096, epochs needed: 2000
evaluating: matrix 253, run 0. Mean loss in evaluation epoch: 0.8796692490577698, epochs needed: 2000
evaluating: matrix 254, run 0. Mean loss in evaluation epoch: 0.8059350848197937, epochs needed: 2000
evaluating: matrix 255, run 0. Mean loss in evaluation epoch: 0.9472156763076782, epochs needed: 2000
evaluating: matrix 256, run 0. Mean loss in evaluation epoch: 0.4876818358898163, epochs needed: 2000
evaluating: matrix 257, run 0. Mean loss in evaluation epoch: 0.5221378803253174, epochs needed: 2000
evaluating: matrix 258, run 0. Mean loss in evaluation epoch: 0.5288341045379639, epochs needed: 2000
evaluating: matrix 259, run 0. Mean loss in evaluation epoch: 0.5221417546272278, epochs needed: 2000
evaluating: matrix 260, run 0. Mean loss in evaluation epoch: 4.739870071411133, epochs needed: 2000
evaluating: matrix 261, run 0. Mean loss in evaluation epoch: 0.568695068359375, epochs needed: 2000
evaluating: matrix 262, run 0. Mean loss in evaluation epoch: 0.6888526082038879, epochs needed: 2000
evaluating: matrix 263, run 0. Mean loss in evaluation epoch: 0.6250120401382446, epochs needed: 2000
evaluating: matrix 264, run 0. Mean loss in evaluation epoch: 0.5153197050094604, epochs needed: 2000
evaluating: matrix 265, run 0. Mean loss in evaluation epoch: 0.5300440788269043, epochs needed: 2000
evaluating: matrix 266, run 0. Mean loss in evaluation epoch: 0.5210992693901062, epochs needed: 2000
evaluating: matrix 267, run 0. Mean loss in evaluation epoch: 0.645551323890686, epochs needed: 2000
evaluating: matrix 268, run 0. Mean loss in evaluation epoch: 0.6241538524627686, epochs needed: 2000
